Name,NOC,Year,Sport,Medal,isCoached,Scoring_Exponential,ExperienceScoring_Exponential,CombinedScore
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0,0.01677499
Kerri (-fischer),United States,1992,Gymnastics,1,1,0.025811648,0.003751957,0.01808855
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0.014713533,0.021926198
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0.032724145,0.028231713
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0.057700039,0.036975773
Kerri (-fischer),United States,1992,Gymnastics,0,1,0.025811648,0.089583346,0.048138119
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0,0.01677499
Kimberley (-burdette),United States,1992,Gymnastics,1,1,0.025811648,0.003751957,0.01808855
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0.014713533,0.021926198
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0.032724145,0.028231713
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0.057700039,0.036975773
Kimberley (-burdette),United States,1992,Gymnastics,0,1,0.025811648,0.089583346,0.048138119
Amanda (-cochran),United States,1996,Gymnastics,0,1,0.108186649,0,0.070310503
Amanda (-cochran),United States,1996,Gymnastics,5,1,0.108186649,0.005186574,0.072126323
Amanda (-cochran),United States,1996,Gymnastics,0,1,0.108186649,0.018790411,0.076889026
Amanda (-cochran),United States,1996,Gymnastics,0,1,0.108186649,0.039899082,0.084279172
Amy (-ho),United States,1996,Gymnastics,0,1,0.163122051,0,0.106013021
Amy (-ho),United States,1996,Gymnastics,5,1,0.163122051,0.006612225,0.108327961
Amy (-ho),United States,1996,Gymnastics,0,1,0.163122051,0.022573597,0.113916037
Amy (-ho),United States,1996,Gymnastics,3,1,0.163122051,0.046294974,0.122220891
Dominique (-thompson),United States,1996,Gymnastics,0,1,0.144955933,0.456771265,0.25412248
Dominique (-thompson),United States,1996,Gymnastics,5,1,0.144955933,0.384761794,0.228911965
Dominique (-thompson),United States,1996,Gymnastics,1,1,0.144955933,0.318294005,0.205641592
Dominique (-thompson),United States,1996,Gymnastics,0,1,0.144955933,0.257486176,0.184352771
Dominique (-thompson),United States,1996,Gymnastics,0,1,0.144955933,0.202473604,0.165092869
Dominique (-thompson),United States,1996,Gymnastics,0,1,0.144955933,0.153413717,0.147917003
Shannon -falconetti),United States,1996,Gymnastics,0,1,0.38963478,0.219249029,0.329982728
Shannon -falconetti),United States,1996,Gymnastics,5,1,0.38963478,0.274466103,0.349314226
Shannon -falconetti),United States,1996,Gymnastics,0,1,0.38963478,0.333419708,0.369953883
Shannon -falconetti),United States,1996,Gymnastics,0,1,0.38963478,0.395847403,0.391809819
Shannon -falconetti),United States,1996,Gymnastics,0,1,0.38963478,0.461533257,0.414806436
Shannon -falconetti),United States,1996,Gymnastics,5,1,0.38963478,0.530295639,0.438880147
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0,0.070310503
Dominique (-canales),United States,1996,Gymnastics,5,1,0.108186649,0.005186574,0.072126323
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0.018790411,0.076889026
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0.039899082,0.084279172
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0.06807568,0.094143799
Dominique (-canales),United States,1996,Gymnastics,0,1,0.108186649,0.103030955,0.10638164
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0,0.070310503
Jaycie -marus),United States,1996,Gymnastics,5,1,0.108186649,0.005186574,0.072126323
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0.018790411,0.076889026
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0.039899082,0.084279172
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0.06807568,0.094143799
Jaycie -marus),United States,1996,Gymnastics,0,1,0.108186649,0.103030955,0.10638164
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.148916014,0.134479072
Kerri (-fischer),United States,1996,Gymnastics,5,1,0.126701917,0.197405109,0.151455104
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.252000154,0.170568829
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.312562482,0.1917717
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.378972491,0.215021845
Kerri (-fischer),United States,1996,Gymnastics,0,1,0.126701917,0.451125284,0.240282537
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.080317071,0.145974975
Amy (-ho),United States,2000,Gymnastics,1,1,0.181344773,0.118497223,0.159341846
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.162820758,0.174859515
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.213004346,0.192428789
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.268819112,0.211969539
Amy (-ho),United States,2000,Gymnastics,0,1,0.181344773,0.330074278,0.233414973
Jamie Dantzscher,United States,2000,Gymnastics,0,1,0.025811648,0,0.01677499
Jamie Dantzscher,United States,2000,Gymnastics,1,1,0.025811648,0.003751957,0.01808855
Jamie Dantzscher,United States,2000,Gymnastics,0,1,0.025811648,0.014713533,0.021926198
Jamie Dantzscher,United States,2000,Gymnastics,0,1,0.025811648,0.032724145,0.028231713
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,0.539560462,0.294913139
Dominique (-thompson),United States,2000,Gymnastics,1,1,0.163122051,0.621754169,0.323689155
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,0.708976065,0.354225541
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,0.801141601,0.386492695
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,0.898173352,0.420463511
Dominique (-thompson),United States,2000,Gymnastics,0,1,0.163122051,1,0.456113021
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0,0.01677499
Kristen Maloney,United States,2000,Gymnastics,1,1,0.025811648,0.003751957,0.01808855
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0.014713533,0.021926198
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0.032724145,0.028231713
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0.057700039,0.036975773
Kristen Maloney,United States,2000,Gymnastics,0,1,0.025811648,0.089583346,0.048138119
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0,0.01677499
Mary Ray,United States,2000,Gymnastics,1,1,0.025811648,0.003751957,0.01808855
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0.014713533,0.021926198
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0.032724145,0.028231713
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0.057700039,0.036975773
Mary Ray,United States,2000,Gymnastics,0,1,0.025811648,0.089583346,0.048138119
Tasha Schwikert-warren,United States,2000,Gymnastics,0,1,0.025811648,0,0.01677499
Tasha Schwikert-warren,United States,2000,Gymnastics,1,1,0.025811648,0.003751957,0.01808855
Tasha Schwikert-warren,United States,2000,Gymnastics,0,1,0.025811648,0.014713533,0.021926198
Tasha Schwikert-warren,United States,2000,Gymnastics,0,1,0.025811648,0.032724145,0.028231713
