Name,Sex,Team,NOC,Year,City,Sport,Event,Medal,Country
Jonathan Carlsbogaard,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Felix Claar,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Tobias Thulin,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Lucas Pellas,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Oscar Bergendahl,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Lukas Sandell,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Andreas Palicka,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Felix Moeller,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Albin Lagergren,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Daniel Pettersson,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Max Darj,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Jonathan Edvardsson,M,Sweden,SWE,2024,Paris,Handball,Men,No medal,Sweden
Lorenzo Musetti,M,Italy,ITA,2024,Paris,Tennis,Men's Doubles,No medal,Italy
Lorenzo Musetti,M,Italy,ITA,2024,Paris,Tennis,Men's Singles,Bronze,Italy
Lucia Bronzetti,F,Italy,ITA,2024,Paris,Tennis,Women's Doubles,No medal,Italy
Lucia Bronzetti,F,Italy,ITA,2024,Paris,Tennis,Women's Singles,No medal,Italy
Andrea Vavassori,M,Italy,ITA,2024,Paris,Tennis,Men's Doubles,No medal,Italy
Andrea Vavassori,M,Italy,ITA,2024,Paris,Tennis,Men's Singles,No medal,Italy
Andrea Vavassori,M,Italy,ITA,2024,Paris,Tennis,Mixed Doubles,No medal,Italy
Matteo Arnaldi,M,Italy,ITA,2024,Paris,Tennis,Men's Singles,No medal,Italy
Sara Errani,F,Italy,ITA,2024,Paris,Tennis,Women's Doubles,Gold,Italy
Sara Errani,F,Italy,ITA,2024,Paris,Tennis,Women's Singles,No medal,Italy
Sara Errani,F,Italy,ITA,2024,Paris,Tennis,Mixed Doubles,No medal,Italy
Luciano Darderi,M,Italy,ITA,2024,Paris,Tennis,Men's Doubles,No medal,Italy
Luciano Darderi,M,Italy,ITA,2024,Paris,Tennis,Men's Singles,No medal,Italy
Elisabetta Cocciaretto,F,Italy,ITA,2024,Paris,Tennis,Women's Doubles,No medal,Italy
Elisabetta Cocciaretto,F,Italy,ITA,2024,Paris,Tennis,Women's Singles,No medal,Italy
Kishmala Talat,F,Pakistan,PAK,2024,Paris,Shooting,10m Air Pistol Women,No medal,Pakistan
Kishmala Talat,F,Pakistan,PAK,2024,Paris,Shooting,25m Pistol Women,No medal,Pakistan
Kishmala Talat,F,Pakistan,PAK,2024,Paris,Shooting,10m Air Pistol Mixed Team,No medal,Pakistan
Yessin Rahmouni,M,Morocco,MAR,2024,Paris,Equestrian,Dressage Individual,No medal,Morocco
Aktenge Keunimjaeva,F,Uzbekistan,UZB,2024,Paris,Wrestling,Women's Freestyle 50kg,No medal,
Aktenge Keunimjaeva,F,Uzbekistan,UZB,2024,Paris,Wrestling,Women's Freestyle 50kg,No medal,Uzbekistan
Jana Mahmoud,F,Egypt,EGY,2024,Paris,Artistic Gymnastics,Women,No medal,Egypt
Jana Mahmoud,F,Egypt,EGY,2024,Paris,Artistic Gymnastics,Women's All-Around,No medal,Egypt
Jana Mahmoud,F,Egypt,EGY,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal,Egypt
Jana Mahmoud,F,Egypt,EGY,2024,Paris,Artistic Gymnastics,Women's Floor Exercise,No medal,Egypt
Jana Mahmoud,F,Egypt,EGY,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal,Egypt
Jana Mahmoud,F,Egypt,EGY,2024,Paris,Artistic Gymnastics,Women's Vault,No medal,Egypt
Johara Eldeeb,F,Egypt,EGY,2024,Paris,Rhythmic Gymnastics,Group All-Around,No medal,Egypt
Ziyodakhon Abdusattorova,F,Uzbekistan,UZB,2024,Paris,Archery,Women's Individual,No medal,
Ziyodakhon Abdusattorova,F,Uzbekistan,UZB,2024,Paris,Archery,Women's Individual,No medal,Uzbekistan
Ziyodakhon Abdusattorova,F,Uzbekistan,UZB,2024,Paris,Archery,Mixed Team,No medal,
Ziyodakhon Abdusattorova,F,Uzbekistan,UZB,2024,Paris,Archery,Mixed Team,No medal,Uzbekistan
Omar Mohamed,M,Egypt,EGY,2024,Paris,Artistic Gymnastics,Men,No medal,Egypt
Omar Mohamed,M,Egypt,EGY,2024,Paris,Artistic Gymnastics,Men's All-Around,No medal,Egypt
Omar Mohamed,M,Egypt,EGY,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal,Egypt
Omar Mohamed,M,Egypt,EGY,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal,Egypt
Omar Mohamed,M,Egypt,EGY,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal,Egypt
Omar Mohamed,M,Egypt,EGY,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal,Egypt
Omar Mohamed,M,Egypt,EGY,2024,Paris,Artistic Gymnastics,Men's Rings,No medal,Egypt
Omar Mohamed,M,Egypt,EGY,2024,Paris,Artistic Gymnastics,Men's Vault,No medal,Egypt
Abdellatif Mohamed,M,Egypt,EGY,2024,Paris,Wrestling,Men's Greco-Roman 130kg,No medal,Egypt
Amirkhon Sadikov,M,Uzbekistan,UZB,2024,Paris,Archery,Men's Individual,No medal,
Amirkhon Sadikov,M,Uzbekistan,UZB,2024,Paris,Archery,Men's Individual,No medal,Uzbekistan
Amirkhon Sadikov,M,Uzbekistan,UZB,2024,Paris,Archery,Mixed Team,No medal,
Amirkhon Sadikov,M,Uzbekistan,UZB,2024,Paris,Archery,Mixed Team,No medal,Uzbekistan
Neslihan Arin,F,Türkiye,TUR,2024,Paris,Badminton,Women's Singles,No medal,Turkey
Mark Hristov,M,Bulgaria,BUL,2024,Paris,Judo,Men -73 kg,No medal,Bulgaria
Mahmoud Abdelrahman,M,Egypt,EGY,2024,Paris,Wrestling,Men's Greco-Roman 77kg,No medal,Egypt
Ivaylo Ivanov,M,Bulgaria,BUL,2024,Paris,Judo,Men -90 kg,No medal,Bulgaria
Moamen Mohamed,M,Egypt,EGY,2024,Paris,Wrestling,Men's Greco-Roman 60kg,No medal,Egypt
Mohamed Gabr,M,Egypt,EGY,2024,Paris,Wrestling,Men's Greco-Roman 97kg,No medal,Egypt
Kevin Penev,M,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Men,No medal,Bulgaria
Kevin Penev,M,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Men's All-Around,No medal,Bulgaria
Kevin Penev,M,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Men's Floor Exercise,No medal,Bulgaria
Kevin Penev,M,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Men's Horizontal Bar,No medal,Bulgaria
Kevin Penev,M,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Men's Parallel Bars,No medal,Bulgaria
Kevin Penev,M,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Men's Pommel Horse,No medal,Bulgaria
Kevin Penev,M,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Men's Rings,No medal,Bulgaria
Kevin Penev,M,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Men's Vault,No medal,Bulgaria
Sebastian Sancho,M,Costa Rica,CRC,2024,Paris,Judo,Men -60 kg,No medal,Costa Rica
Jack Kirby,M,Barbados,BAR,2024,Paris,Swimming,Men's 100m Freestyle,No medal,Barbados
Valentina Georgieva,F,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Women,No medal,Bulgaria
Valentina Georgieva,F,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Women's Balance Beam,No medal,Bulgaria
Valentina Georgieva,F,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Women's Uneven Bars,No medal,Bulgaria
Valentina Georgieva,F,Bulgaria,BUL,2024,Paris,Artistic Gymnastics,Women's Vault,No medal,Bulgaria
Navasky Anderson,M,Jamaica,JAM,2024,Paris,Athletics,Men's 800m,No medal,Jamaica
Lamar Behairy,F,Egypt,EGY,2024,Paris,Rhythmic Gymnastics,Group All-Around,No medal,Egypt
Mohamed Elsayed,M,Egypt,EGY,2024,Paris,Wrestling,Men's Greco-Roman 67kg,No medal,Egypt
Mohamed Metwally,M,Egypt,EGY,2024,Paris,Wrestling,Men's Greco-Roman 87kg,No medal,Egypt
Alberto Diaz,M,Cuba,CUB,2024,Paris,Athletics,Men's Discus Throw,No medal,Cuba
R Espinosa,M,Cuba,CUB,2024,Paris,Athletics,Men's 100m,No medal,Cuba
Abdelrahman Abdelaziz,M,Egypt,EGY,2024,Paris,Weightlifting,Men's +102kg,No medal,Egypt
Andy Hechavarria,M,Cuba,CUB,2024,Paris,Athletics,Men's Triple Jump,No medal,Cuba
Halima Abbas,F,Egypt,EGY,2024,Paris,Weightlifting,Women's +81kg,No medal,Egypt
Nils Ehlers,M,Germany,GER,2024,Paris,Beach Volleyball,Men,Silver,Germany
Clemens Wickler,M,Germany,GER,2024,Paris,Beach Volleyball,Men,Silver,Germany
Laura Ludwig,F,Germany,GER,2024,Paris,Beach Volleyball,Women,No medal,Germany
Svenja Mueller,F,Germany,GER,2024,Paris,Beach Volleyball,Women,No medal,Germany
Christian Fromm,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Gyorgy Grozer,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Lukas Kampa,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Moritz Karlitzek,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Tobias Krick,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Moritz Reichert,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Ruben Schott,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Julian Zenger,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Jan Zimmermann,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Louisa Lippmann,F,Germany,GER,2024,Paris,Beach Volleyball,Women,No medal,Germany
Anton Brehme,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Cinja Tillmann,F,Germany,GER,2024,Paris,Beach Volleyball,Women,No medal,Germany
Lukas Maase,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Johannes Tille,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Tobias Brand,M,Germany,GER,2024,Paris,Volleyball,Men,No medal,Germany
Karim Abokahla,M,Egypt,EGY,2024,Paris,Weightlifting,Men's 89kg,No medal,Egypt
Lazaro Martinez,M,Cuba,CUB,2024,Paris,Athletics,Men's Triple Jump,No medal,Cuba
Zandrion Barnes,M,Jamaica,JAM,2024,Paris,Athletics,4 x 400m Relay Mixed,No medal,Jamaica
Neama Said,F,Egypt,EGY,2024,Paris,Weightlifting,Women's 71kg,No medal,Egypt
Sara Ahmed,F,Egypt,EGY,2024,Paris,Weightlifting,Women's 81kg,Silver,Egypt
Orlando Bennett,M,Jamaica,JAM,2024,Paris,Athletics,Men's 110m Hurdles,No medal,Jamaica
Kaltra Meca,F,Albania,ALB,2024,Paris,Swimming,Women's 200m Freestyle,No medal,Albania
Anna-maria Wagner,F,Germany,GER,2024,Paris,Judo,Women -78 kg,No medal,Germany
Anna-maria Wagner,F,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Miriam Butkereit,F,Germany,GER,2024,Paris,Judo,Women -70 kg,Silver,Germany
Miriam Butkereit,F,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Katharina Menz,F,Germany,GER,2024,Paris,Judo,Women -48 kg,No medal,Germany
Katharina Menz,F,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Pauline Starke,F,Germany,GER,2024,Paris,Judo,Women -57 kg,No medal,Germany
Pauline Starke,F,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Renee Lucht,F,Germany,GER,2024,Paris,Judo,Women +78 kg,No medal,Germany
Renee Lucht,F,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Igor Wandtke,M,Germany,GER,2024,Paris,Judo,Men -73 kg,No medal,Germany
Igor Wandtke,M,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Eduard Trippel,M,Germany,GER,2024,Paris,Judo,Men -90 kg,No medal,Germany
Eduard Trippel,M,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Timo Cavelius,M,Germany,GER,2024,Paris,Judo,Men -81 kg,No medal,Germany
Timo Cavelius,M,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Erik Abramov,M,Germany,GER,2024,Paris,Judo,Men +100 kg,No medal,Germany
Erik Abramov,M,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Mascha Ballhaus,F,Germany,GER,2024,Paris,Judo,Women -52 kg,No medal,Germany
Mascha Ballhaus,F,Germany,GER,2024,Paris,Judo,Mixed Team,No medal,Germany
Grisi Koxhaku,M,Albania,ALB,2024,Paris,Swimming,Men's 100m Freestyle,No medal,Albania
Alejandro Parada,M,Cuba,CUB,2024,Paris,Athletics,Men's Long Jump,No medal,Cuba
Enrique Zayas,M,Cuba,CUB,2024,Paris,Athletics,Men's High Jump,No medal,Cuba
That Nguyen,F,Vietnam,VIE,2024,Paris,Cycling Road,Women's Road Race,No medal,Vietnam
Nguyet Do,F,Vietnam,VIE,2024,Paris,Archery,Women's Individual,No medal,Vietnam
Nguyet Do,F,Vietnam,VIE,2024,Paris,Archery,Mixed Team,No medal,Vietnam
Aleksandra Kalucka,F,Poland,POL,2024,Paris,Sport Climbing,Women's Speed,Bronze,Poland
le Phong,M,Vietnam,VIE,2024,Paris,Archery,Men's Individual,No medal,Vietnam
le Phong,M,Vietnam,VIE,2024,Paris,Archery,Mixed Team,No medal,Vietnam
Aleksandra Miroslaw,F,Poland,POL,2024,Paris,Sport Climbing,Women's Speed,Gold,Poland
QUAKE,M,Chinese Taipei,TPE,2024,Paris,Breaking,B-Boys,No medal,Chinese Taipei
Vinh Trinh,M,Vietnam,VIE,2024,Paris,Weightlifting,Men's 61kg,No medal,Vietnam
Anton Kallberg,M,Sweden,SWE,2024,Paris,Table Tennis,Men's Singles,No medal,Sweden
Anton Kallberg,M,Sweden,SWE,2024,Paris,Table Tennis,Men's Team,Silver,Sweden
Filippa Bergand,F,Sweden,SWE,2024,Paris,Table Tennis,Women's Team,No medal,Sweden
Christina Kallberg,F,Sweden,SWE,2024,Paris,Table Tennis,Women's Singles,No medal,Sweden
Christina Kallberg,F,Sweden,SWE,2024,Paris,Table Tennis,Women's Team,No medal,Sweden
Christina Kallberg,F,Sweden,SWE,2024,Paris,Table Tennis,Mixed Doubles,No medal,Sweden
Linda Bergstrom,F,Sweden,SWE,2024,Paris,Table Tennis,Women's Singles,No medal,Sweden
Linda Bergstrom,F,Sweden,SWE,2024,Paris,Table Tennis,Women's Team,No medal,Sweden
Kristian Karlsson,M,Sweden,SWE,2024,Paris,Table Tennis,Men's Team,Silver,Sweden
Kristian Karlsson,M,Sweden,SWE,2024,Paris,Table Tennis,Mixed Doubles,No medal,Sweden
Truls Moregard,M,Sweden,SWE,2024,Paris,Table Tennis,Men's Singles,Silver,Sweden
Truls Moregard,M,Sweden,SWE,2024,Paris,Table Tennis,Men's Team,Silver,Sweden
Ilias El,M,Morocco,MAR,2024,Paris,Swimming,Men's 400m Freestyle,No medal,Morocco
Houda El,F,Morocco,MAR,2024,Paris,Swimming,Women's 100m Breaststroke,No medal,Morocco
Adil Osmanov,M,Republic of Moldova,MDA,2024,Paris,Judo,Men -73 kg,Bronze,Moldova
Mihail Latisev,M,Republic of Moldova,MDA,2024,Paris,Judo,Men -81 kg,No medal,Moldova
Petrov Mitsin,M,Bulgaria,BUL,2024,Paris,Swimming,Men's 200m Butterfly,No medal,Bulgaria
Petrov Mitsin,M,Bulgaria,BUL,2024,Paris,Swimming,Men's 400m Freestyle,No medal,Bulgaria
Doston Ruziev,M,Uzbekistan,UZB,2024,Paris,Judo,Men -60 kg,No medal,
Doston Ruziev,M,Uzbekistan,UZB,2024,Paris,Judo,Men -60 kg,No medal,Uzbekistan
Doston Ruziev,M,Uzbekistan,UZB,2024,Paris,Judo,Mixed Team,No medal,
Doston Ruziev,M,Uzbekistan,UZB,2024,Paris,Judo,Mixed Team,No medal,Uzbekistan
Jeswin Aldrin,M,India,IND,2024,Paris,Athletics,Men's Long Jump,No medal,India
Sardor Nurillaev,M,Uzbekistan,UZB,2024,Paris,Judo,Men -66 kg,No medal,
Sardor Nurillaev,M,Uzbekistan,UZB,2024,Paris,Judo,Men -66 kg,No medal,Uzbekistan
Sardor Nurillaev,M,Uzbekistan,UZB,2024,Paris,Judo,Mixed Team,No medal,
Sardor Nurillaev,M,Uzbekistan,UZB,2024,Paris,Judo,Mixed Team,No medal,Uzbekistan
Praveen Chithravel,M,India,IND,2024,Paris,Athletics,Men's Triple Jump,No medal,India
Alvaro Robles,M,Spain,ESP,2024,Paris,Table Tennis,Men's Singles,No medal,Spain
Alvaro Robles,M,Spain,ESP,2024,Paris,Table Tennis,Mixed Doubles,No medal,Spain
Maria Xiao,F,Spain,ESP,2024,Paris,Table Tennis,Women's Singles,No medal,Spain
Maria Xiao,F,Spain,ESP,2024,Paris,Table Tennis,Mixed Doubles,No medal,Spain
Cristina Cabana,F,Spain,ESP,2024,Paris,Judo,Women -63 kg,No medal,Spain
Cristina Cabana,F,Spain,ESP,2024,Paris,Judo,Mixed Team,No medal,Spain
Salvador Cases,M,Spain,ESP,2024,Paris,Judo,Men -73 kg,No medal,Spain
Salvador Cases,M,Spain,ESP,2024,Paris,Judo,Mixed Team,No medal,Spain
David Garcia,M,Spain,ESP,2024,Paris,Judo,Men -66 kg,No medal,Spain
David Garcia,M,Spain,ESP,2024,Paris,Judo,Mixed Team,No medal,Spain
Francisco Garrigos,M,Spain,ESP,2024,Paris,Judo,Men -60 kg,Bronze,Spain
Laura Martinez,F,Spain,ESP,2024,Paris,Judo,Women -48 kg,No medal,Spain
Laura Martinez,F,Spain,ESP,2024,Paris,Judo,Mixed Team,No medal,Spain
Tristani Mosakhlishvili,M,Spain,ESP,2024,Paris,Judo,Men -90 kg,No medal,Spain
Tristani Mosakhlishvili,M,Spain,ESP,2024,Paris,Judo,Mixed Team,No medal,Spain
Nikoloz Sherazadishvili,M,Spain,ESP,2024,Paris,Judo,Men -100 kg,No medal,Spain
Nikoloz Sherazadishvili,M,Spain,ESP,2024,Paris,Judo,Mixed Team,No medal,Spain
Ariane Toro,F,Spain,ESP,2024,Paris,Judo,Women -52 kg,No medal,Spain
Ariane Toro,F,Spain,ESP,2024,Paris,Judo,Mixed Team,No medal,Spain
Ai Tsunoda,F,Spain,ESP,2024,Paris,Judo,Women -70 kg,No medal,Spain
Ai Tsunoda,F,Spain,ESP,2024,Paris,Judo,Mixed Team,No medal,Spain
Kamil Kucera,M,Czechia,CZE,2024,Paris,Weightlifting,Men's +102kg,No medal,Czech Republic
Josif Miladinov,M,Bulgaria,BUL,2024,Paris,Swimming,Men's 100m Butterfly,No medal,Bulgaria
Lyubomir Epitropov,M,Bulgaria,BUL,2024,Paris,Swimming,Men's 200m Breaststroke,No medal,Bulgaria
Djamila Silva,F,Cabo Verde,CPV,2024,Paris,Judo,Women -52 kg,No medal,Cape Verde
Gabriela Georgieva,F,Bulgaria,BUL,2024,Paris,Swimming,Women's 100m Backstroke,No medal,Bulgaria
Gabriela Georgieva,F,Bulgaria,BUL,2024,Paris,Swimming,Women's 200m Backstroke,No medal,Bulgaria
Victor Alvares,M,Cabo Verde,CPV,2024,Paris,Fencing,Men's Foil Individual,No medal,Cape Verde
Pablo Acha,M,Spain,ESP,2024,Paris,Archery,Men's Individual,No medal,Spain
Pablo Acha,M,Spain,ESP,2024,Paris,Archery,Mixed Team,No medal,Spain
Elia Canales,F,Spain,ESP,2024,Paris,Archery,Women's Individual,No medal,Spain
Elia Canales,F,Spain,ESP,2024,Paris,Archery,Mixed Team,No medal,Spain
Jayla Pina,F,Cabo Verde,CPV,2024,Paris,Swimming,Women's 200m Individual Medley,No medal,Cape Verde
Ivanusa Moreira,F,Cabo Verde,CPV,2024,Paris,Boxing,Women's 66kg,No medal,Cape Verde
Sara Sorribes,F,Spain,ESP,2024,Paris,Tennis,Women's Doubles,Bronze,Spain
Sara Sorribes,F,Spain,ESP,2024,Paris,Tennis,Women's Singles,No medal,Spain
Sara Sorribes,F,Spain,ESP,2024,Paris,Tennis,Mixed Doubles,No medal,Spain
Carlos Alcaraz,M,Spain,ESP,2024,Paris,Tennis,Men's Doubles,No medal,Spain
Carlos Alcaraz,M,Spain,ESP,2024,Paris,Tennis,Men's Singles,Silver,Spain
Cristina Bucsa,F,Spain,ESP,2024,Paris,Tennis,Women's Doubles,Bronze,Spain
Cristina Bucsa,F,Spain,ESP,2024,Paris,Tennis,Women's Singles,No medal,Spain
Pablo Carreno,M,Spain,ESP,2024,Paris,Tennis,Men's Doubles,No medal,Spain
Marcel Granollers,M,Spain,ESP,2024,Paris,Tennis,Men's Doubles,No medal,Spain
Marcel Granollers,M,Spain,ESP,2024,Paris,Tennis,Mixed Doubles,No medal,Spain
Pedro Martinez,M,Spain,ESP,2024,Paris,Tennis,Men's Singles,No medal,Spain
Jaume Munar,M,Spain,ESP,2024,Paris,Tennis,Men's Singles,No medal,Spain
Rafael Nadal,M,Spain,ESP,2024,Paris,Tennis,Men's Doubles,No medal,Spain
Rafael Nadal,M,Spain,ESP,2024,Paris,Tennis,Men's Singles,No medal,Spain
Murodjon Yuldoshev,M,Uzbekistan,UZB,2024,Paris,Judo,Men -73 kg,No medal,
Murodjon Yuldoshev,M,Uzbekistan,UZB,2024,Paris,Judo,Men -73 kg,No medal,Uzbekistan
Murodjon Yuldoshev,M,Uzbekistan,UZB,2024,Paris,Judo,Mixed Team,No medal,
Murodjon Yuldoshev,M,Uzbekistan,UZB,2024,Paris,Judo,Mixed Team,No medal,Uzbekistan
Enzo Diessl,M,Austria,AUT,2024,Paris,Athletics,Men's 110m Hurdles,No medal,Austria
Markus Fuchs,M,Austria,AUT,2024,Paris,Athletics,Men's 100m,No medal,Austria
Susanne Gogl-walli,F,Austria,AUT,2024,Paris,Athletics,Women's 400m,No medal,Austria
Victoria Hudson,F,Austria,AUT,2024,Paris,Athletics,Women's Javelin Throw,No medal,Austria
Julia Mayer,F,Austria,AUT,2024,Paris,Athletics,Women's Marathon,No medal,Austria
Raphael Pallitsch,M,Austria,AUT,2024,Paris,Athletics,Men's 1500m,No medal,Austria
Lukas Weisshaidinger,M,Austria,AUT,2024,Paris,Athletics,Men's Discus Throw,No medal,Austria
Corinna Kuhnle,F,Austria,AUT,2024,Paris,Canoe Slalom,Women's Kayak Single,No medal,Austria
Corinna Kuhnle,F,Austria,AUT,2024,Paris,Canoe Slalom,Women's Kayak Cross,No medal,Austria
Felix Oschmautz,M,Austria,AUT,2024,Paris,Canoe Slalom,Men's Kayak Single,No medal,Austria
Felix Oschmautz,M,Austria,AUT,2024,Paris,Canoe Slalom,Men's Kayak Cross,No medal,Austria
Viktoria Wolffhardt,F,Austria,AUT,2024,Paris,Canoe Slalom,Women's Canoe Single,No medal,Austria
Viktoria Wolffhardt,F,Austria,AUT,2024,Paris,Canoe Slalom,Women's Kayak Cross,No medal,Austria
Lorena Brandl,F,Germany,GER,2024,Paris,Taekwondo,Women +67kg,No medal,Germany
Hugo Lennox,M,Ireland,IRL,2024,Paris,Rugby Sevens,Men,No medal,Ireland
Abigail Lyle,F,Ireland,IRL,2024,Paris,Equestrian,Dressage Individual,No medal,Ireland
Austin O'connor,M,Ireland,IRL,2024,Paris,Equestrian,Eventing Individual,No medal,Ireland
Austin O'connor,M,Ireland,IRL,2024,Paris,Equestrian,Eventing Team,No medal,Ireland
Cian O'connor,M,Ireland,IRL,2024,Paris,Equestrian,Jumping Individual,No medal,Ireland
Cian O'connor,M,Ireland,IRL,2024,Paris,Equestrian,Jumping Team,No medal,Ireland
Daniel Coyle,M,Ireland,IRL,2024,Paris,Equestrian,Jumping Individual,No medal,Ireland
Daniel Coyle,M,Ireland,IRL,2024,Paris,Equestrian,Jumping Team,No medal,Ireland
McKIBBIN Peter,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Kyle Marshall,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Shane O'donoghue,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Jonathan Lynch,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Sean Murray,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Peter Brown,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Michael Robson,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Daragh Walsh,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Benjamin Walker,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Jeremy Duncan,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
McKEE John,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Ben Johnson,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Matthew Nelson,M,Ireland,IRL,2024,Paris,Hockey,Men,No medal,Ireland
Jenny Rissveds,F,Sweden,SWE,2024,Paris,Cycling Mountain Bike,Women's Cross-country,Bronze,Sweden
Matthew Wright,M,Barbados,BAR,2024,Paris,Triathlon,Men's Individual,No medal,Barbados
Rajindra Campbell,M,Jamaica,JAM,2024,Paris,Athletics,Men's Shot Put,Bronze,Jamaica
Seco Camara,M,Guinea-Bissau,GBS,2024,Paris,Athletics,Men's 100m,No medal,Guinea-Bissau
Johnouario Gomis,M,Guinea-Bissau,GBS,2024,Paris,Taekwondo,Men +80kg,No medal,Guinea-Bissau
Murielle Ahoure-demps,F,Côte d'Ivoire,CIV,2024,Paris,Athletics,Women's 4 x 100m Relay,No medal,Ivory Coast
Natiq Suad,M,Iraq,IRQ,2024,Paris,Football,Men,No medal,Iraq
Hussein Aymen,M,Iraq,IRQ,2024,Paris,Football,Men,No medal,Iraq
Bayesh Ibrahim,M,Iraq,IRQ,2024,Paris,Football,Men,No medal,Iraq
Ulya Shaig,F,Maldives,MDV,2024,Paris,Swimming,Women's 50m Freestyle,No medal,Maldives
Kenaz Kaniwete,M,Kiribati,KIR,2024,Paris,Athletics,Men's 100m,No medal,Kiribati
Malak Hamza,F,Egypt,EGY,2024,Paris,Trampoline Gymnastics,Women,No medal,Egypt
Aider Abduraimov,M,Ukraine,UKR,2024,Paris,Boxing,Men's 57kg,No medal,Ukraine
Oleksandr Khyzhniak,M,Ukraine,UKR,2024,Paris,Boxing,Men's 80kg,Gold,Ukraine
Dmytro Lovchynskyi,M,Ukraine,UKR,2024,Paris,Boxing,Men's +92kg,No medal,Ukraine
Arsenii Batahov,M,Ukraine,UKR,2024,Paris,Football,Men,No medal,Ukraine
Maksym Braharu,M,Ukraine,UKR,2024,Paris,Football,Men,No medal,Ukraine
Kiril Fesiun,M,Ukraine,UKR,2024,Paris,Football,Men,No medal,Ukraine
Dmytro Kryskiv,M,Ukraine,UKR,2024,Paris,Football,Men,No medal,Ukraine
Oleksandr Martyniuk,M,Ukraine,UKR,2024,Paris,Football,Men,No medal,Ukraine
Mykola Mykhailenko,M,Ukraine,UKR,2024,Paris,Football,Men,No medal,Ukraine
