Year,Host,NOC,isHost,Gold,Total,gold_ratio,total_ratio,Avg_X_Gold,Avg_X_Total,Count
1964,Japan,Argentina,0,0,1,0,0.001984127,0.25,2.5,148
1964,Japan,Australia,0,6,18,0.036809816,0.035714286,8.25,21.5,392
1964,Japan,Bahamas,0,1,1,0.006134969,0.001984127,1,1,12
1964,Japan,Belgium,0,2,3,0.012269939,0.005952381,1,3.25,74
1964,Japan,Brazil,0,0,1,0,0.001984127,0.5,1.75,65
1964,Japan,Bulgaria,0,3,10,0.018404908,0.01984127,1.25,5.75,116
1964,Japan,Canada,0,1,4,0.006134969,0.007936508,1,3.5,194
1964,Japan,Cuba,0,0,1,0,0.001984127,1,1.75,76
1964,Japan,Czechoslovakia,0,5,14,0.030674847,0.027777778,4,10.25,187
1964,Japan,Denmark,0,2,6,0.012269939,0.011904762,1.75,5.5,71
1964,Japan,Ethiopia,0,1,1,0.006134969,0.001984127,1,1,19
1964,Japan,Finland,0,3,5,0.018404908,0.009920635,3.25,11.75,151
1964,Japan,France,0,1,15,0.006134969,0.029761905,2.75,13,214
1964,Japan,Ghana,0,0,1,0,0.001984127,0,1,40
1964,Japan,Great Britain,0,4,18,0.024539877,0.035714286,3.25,18.25,301
1964,Japan,Hungary,0,10,22,0.061349693,0.043650794,10.25,27.75,319
1964,Japan,India,0,1,1,0.006134969,0.001984127,0.75,1.25,111
1964,Japan,Iran,0,0,2,0,0.003968254,0.5,4.5,96
1964,Japan,Ireland,0,0,1,0,0.001984127,0.75,2.25,35
1964,Japan,Italy,0,10,27,0.061349693,0.053571429,9.75,27.25,256
1964,Japan,Japan,1,16,29,0.098159509,0.057539683,6.25,18.75,456
1964,Japan,Kenya,0,0,1,0,0.001984127,0,1,41
1964,Japan,Mexico,0,0,1,0,0.001984127,0.25,1.25,128
1964,Japan,Netherlands,0,2,10,0.012269939,0.01984127,1.75,8.5,4
1964,Japan,Netherlands,0,2,10,0.012269939,0.01984127,1.75,8.5,158
1964,Japan,New Zealand,0,3,5,0.018404908,0.009920635,2,3.25,88
1964,Japan,Nigeria,0,0,1,0,0.001984127,0,1,19
1964,Japan,Pakistan,0,0,1,0,0.001984127,0,1,47
1964,Japan,Philippines,0,0,1,0,0.001984127,0,1.5,70
1964,Japan,Poland,0,7,23,0.042944785,0.045634921,3.25,14.25,240
1964,Japan,Romania,0,2,12,0.012269939,0.023809524,2.75,9.75,232
1964,Japan,Russia,0,30,96,0.18404908,0.19047619,33,92,463
1964,Japan,Serbia,0,2,5,0.012269939,0.009920635,1,3.25,123
1964,Japan,South Korea,0,0,3,0,0.005952381,0,2.25,240
1964,Japan,Sweden,0,2,8,0.012269939,0.015873016,5.75,17,175
1964,Japan,Switzerland,0,1,4,0.006134969,0.007936508,0.75,6.25,129
1964,Japan,Trinidad and Tobago,0,0,3,0,0.005952381,0,3,18
1964,Japan,Tunisia,0,0,2,0,0.003968254,0,2,12
1964,Japan,Turkey,0,2,6,0.012269939,0.011904762,3.5,6.25,25
1964,Japan,United States,0,36,90,0.220858896,0.178571429,35.5,77.75,492
1964,Japan,Uruguay,0,0,1,0,0.001984127,0,1.5,29
1968,Mexico,Argentina,0,0,2,0,0.003795066,0,1.75,132
1968,Mexico,Australia,0,5,17,0.028735632,0.032258065,8,23,224
1968,Mexico,Austria,0,0,4,0,0.007590133,0.25,2.5,59
1968,Mexico,Belgium,0,0,2,0,0.003795066,0.5,2.75,106
1968,Mexico,Brazil,0,0,3,0,0.0056926,0.25,1.75,89
1968,Mexico,Bulgaria,0,2,9,0.011494253,0.017077799,1.75,7.75,189
1968,Mexico,Cameroon,0,0,1,0,0.001897533,0,1,5
1968,Mexico,Canada,0,1,5,0.005747126,0.009487666,1,4,291
1968,Mexico,Cuba,0,0,4,0,0.007590133,0.75,2.25,227
1968,Mexico,Czechoslovakia,0,7,13,0.040229885,0.024667932,4,10.25,203
1968,Mexico,Denmark,0,1,8,0.005747126,0.015180266,1.5,6,93
1968,Mexico,East Germany,0,9,25,0.051724138,0.04743833,9,25,432
1968,Mexico,Ethiopia,0,1,2,0.005747126,0.003795066,1,2,26
1968,Mexico,Finland,0,1,4,0.005747126,0.007590133,2,7.25,126
1968,Mexico,France,0,7,15,0.040229885,0.028462998,3,12.25,311
1968,Mexico,Great Britain,0,5,13,0.028735632,0.024667932,4.25,18.75,328
1968,Mexico,Greece,0,0,1,0,0.001897533,0.25,1,44
1968,Mexico,Hungary,0,10,32,0.057471264,0.060721063,8.75,25.25,303
1968,Mexico,India,0,0,1,0,0.001897533,0.5,1,27
1968,Mexico,Iran,0,2,5,0.011494253,0.009487666,1,4,14
1968,Mexico,Italy,0,3,16,0.017241379,0.030360531,8.5,26,268
1968,Mexico,Jamaica,0,0,1,0,0.001897533,0,1,35
1968,Mexico,Japan,0,11,25,0.063218391,0.04743833,8.75,22.75,289
1968,Mexico,Kenya,0,3,9,0.017241379,0.017077799,3,9,50
1968,Mexico,Mexico,1,3,9,0.017241379,0.017077799,1,3.25,446
1968,Mexico,Mongolia,0,0,4,0,0.007590133,0,4,38
1968,Mexico,Netherlands,0,3,7,0.017241379,0.013282732,1.25,6.25,5
1968,Mexico,Netherlands,0,3,7,0.017241379,0.013282732,1.25,6.25,140
1968,Mexico,New Zealand,0,1,3,0.005747126,0.0056926,2,3.25,65
1968,Mexico,Norway,0,1,2,0.005747126,0.003795066,1.5,2.75,86
1968,Mexico,Pakistan,0,1,1,0.005747126,0.001897533,0.5,1.25,15
1968,Mexico,Poland,0,5,18,0.028735632,0.034155598,4.25,17.75,296
1968,Mexico,Romania,0,4,15,0.022988506,0.028462998,3.5,12.5,100
1968,Mexico,Russia,0,29,91,0.166666667,0.172675522,34.75,97,471
1968,Mexico,Serbia,0,3,8,0.017241379,0.015180266,1.5,4.5,130
1968,Mexico,South Korea,0,0,2,0,0.003795066,0,2.25,66
1968,Mexico,Sweden,0,2,4,0.011494253,0.007590133,3.25,9.25,186
1968,Mexico,Switzerland,0,0,5,0,0.009487666,0.25,4,155
1968,Mexico,Tunisia,0,1,2,0.005747126,0.003795066,1,2,8
1968,Mexico,Turkey,0,2,2,0.011494253,0.003795066,3.5,6,30
1968,Mexico,Uganda,0,0,2,0,0.003795066,0,2,14
1968,Mexico,United States,0,45,107,0.25862069,0.203036053,36.75,85.5,529
1968,Mexico,Venezuela,0,1,1,0.005747126,0.001897533,1,1,30
1968,Mexico,West Germany,0,5,26,0.028735632,0.049335863,5,26,346
1972,West Germany,Argentina,0,0,1,0,0.001666667,0,1.5,123
1972,West Germany,Australia,0,8,17,0.041025641,0.028333333,6.75,18.5,266
1972,West Germany,Austria,0,0,3,0,0.005,0.25,2.75,143
1972,West Germany,Belgium,0,0,2,0,0.003333333,0.5,2.75,106
1972,West Germany,Brazil,0,0,2,0,0.003333333,0,2,104
1972,West Germany,Bulgaria,0,6,21,0.030769231,0.035,3,11.75,226
1972,West Germany,Canada,0,0,5,0,0.008333333,0.5,3.75,344
1972,West Germany,Colombia,0,0,3,0,0.005,0,3,75
1972,West Germany,Cuba,0,3,8,0.015384615,0.013333333,0.75,3.5,201
1972,West Germany,Czechoslovakia,0,2,8,0.01025641,0.013333333,4.25,10.75,274
1972,West Germany,Denmark,0,1,1,0.005128205,0.001666667,1.5,5.25,155
1972,West Germany,East Germany,0,20,66,0.102564103,0.11,20,66,587
1972,West Germany,Ethiopia,0,0,2,0,0.003333333,0.75,1.5,40
1972,West Germany,Finland,0,3,8,0.015384615,0.013333333,2,5.5,133
1972,West Germany,France,0,2,13,0.01025641,0.021666667,2.5,12,356
1972,West Germany,Ghana,0,0,1,0,0.001666667,0,1,41
1972,West Germany,Great Britain,0,4,18,0.020512821,0.03,3.75,17.25,433
1972,West Germany,Greece,0,0,2,0,0.003333333,0.25,1.25,66
1972,West Germany,Hungary,0,6,35,0.030769231,0.058333333,8,27.5,367
1972,West Germany,India,0,0,1,0,0.001666667,0.25,1,43
1972,West Germany,Iran,0,0,3,0,0.005,0.5,3.5,56
1972,West Germany,Italy,0,5,18,0.025641026,0.03,7.75,24.25,345
1972,West Germany,Jamaica,0,0,1,0,0.001666667,0.75,2.5,51
1972,West Germany,Japan,0,13,29,0.066666667,0.048333333,11,25.25,293
1972,West Germany,Kenya,0,2,9,0.01025641,0.015,2,9,69
1972,West Germany,Mexico,0,0,1,0,0.001666667,0.75,3,281
1972,West Germany,Mongolia,0,0,1,0,0.001666667,0,1,44
1972,West Germany,Netherlands,0,3,5,0.015384615,0.008333333,2,6.25,2
1972,West Germany,Netherlands,0,3,5,0.015384615,0.008333333,2,6.25,199
1972,West Germany,New Zealand,0,1,3,0.005128205,0.005,1.75,3.5,112
1972,West Germany,Niger,0,0,1,0,0.001666667,0,1,4
1972,West Germany,Nigeria,0,0,1,0,0.001666667,0,1,36
1972,West Germany,North Korea,0,1,5,0.005128205,0.008333333,1,5,83
1972,West Germany,Norway,0,2,4,0.01025641,0.006666667,1.25,2.5,161
1972,West Germany,Pakistan,0,0,1,0,0.001666667,0.5,1.25,26
1972,West Germany,Poland,0,7,21,0.035897436,0.035,5.75,20.75,418
1972,West Germany,Romania,0,3,16,0.015384615,0.026666667,3,13.25,258
1972,West Germany,Russia,0,50,99,0.256410256,0.165,38,97.25,531
1972,West Germany,Serbia,0,2,5,0.01025641,0.008333333,2,5,212
1972,West Germany,South Korea,0,0,1,0,0.001666667,0,2,43
1972,West Germany,Spain,0,0,1,0,0.001666667,0,1,162
1972,West Germany,Sweden,0,4,16,0.020512821,0.026666667,2.25,8.5,186
1972,West Germany,Switzerland,0,0,3,0,0.005,0.25,4.5,265
1972,West Germany,Tunisia,0,0,1,0,0.001666667,0,1,37
1972,West Germany,Turkey,0,0,1,0,0.001666667,2.75,4.5,50
1972,West Germany,Uganda,0,1,2,0.005128205,0.003333333,1,2,35
1972,West Germany,United States,0,33,94,0.169230769,0.156666667,37,90.5,578
1972,West Germany,West Germany,1,13,40,0.066666667,0.066666667,13,40,454
1976,Canada,Australia,0,0,5,0,0.008156607,4.75,14.25,274
1976,Canada,Austria,0,0,1,0,0.001631321,0.25,2.5,73
1976,Canada,Belgium,0,0,6,0,0.009787928,0.5,3.25,149
1976,Canada,Bermuda,0,0,1,0,0.001631321,0,1,20
1976,Canada,Brazil,0,0,2,0,0.003262643,0,2,89
1976,Canada,Bulgaria,0,6,22,0.03030303,0.03588907,4.25,15.5,254
1976,Canada,Canada,1,0,11,0,0.017944535,0.5,6.25,531
1976,Canada,Cuba,0,6,13,0.03030303,0.021207178,2.25,6.5,194
1976,Canada,Czechoslovakia,0,2,8,0.01010101,0.013050571,4,10.75,251
1976,Canada,Denmark,0,1,3,0.005050505,0.004893964,1.25,4.5,81
1976,Canada,East Germany,0,40,90,0.202020202,0.146818923,40,90,452
1976,Canada,Finland,0,4,6,0.02020202,0.009787928,2.75,5.75,108
1976,Canada,France,0,2,9,0.01010101,0.014681892,3,13,302
1976,Canada,Great Britain,0,3,13,0.015151515,0.021207178,4,15.5,353
1976,Canada,Hungary,0,4,22,0.02020202,0.03588907,7.5,27.75,288
1976,Canada,Iran,0,0,2,0,0.003262643,0.5,3,104
1976,Canada,Italy,0,2,13,0.01010101,0.021207178,5,18.5,312
1976,Canada,Jamaica,0,1,2,0.005050505,0.003262643,0.75,2.25,36
1976,Canada,Japan,0,9,25,0.045454545,0.040783034,12.25,27,328
1976,Canada,Mexico,0,1,2,0.005050505,0.003262643,1,3.25,137
1976,Canada,Mongolia,0,0,1,0,0.001631321,0,1,33
1976,Canada,Netherlands,0,0,5,0,0.008156607,2,6.75,4
1976,Canada,Netherlands,0,0,5,0,0.008156607,2,6.75,175
1976,Canada,New Zealand,0,2,4,0.01010101,0.006525285,1.75,3.75,98
1976,Canada,North Korea,0,1,2,0.005050505,0.003262643,1,2,40
1976,Canada,Norway,0,1,2,0.005050505,0.003262643,1.25,2.25,79
1976,Canada,Pakistan,0,0,1,0,0.001631321,0.25,1,24
1976,Canada,Poland,0,7,26,0.035353535,0.042414356,6.5,22,286
1976,Canada,Portugal,0,0,2,0,0.003262643,0,1.5,36
1976,Canada,Puerto Rico,0,0,1,0,0.001631321,0,1,112
1976,Canada,Romania,0,4,27,0.02020202,0.044045677,3.25,17.5,255
1976,Canada,Russia,0,49,125,0.247474747,0.203915171,39.5,102.75,574
1976,Canada,Serbia,0,2,8,0.01010101,0.013050571,2.25,6.5,95
1976,Canada,South Korea,0,1,6,0.005050505,0.009787928,0.25,3,51
1976,Canada,Spain,0,0,2,0,0.003262643,0,1.25,160
1976,Canada,Sweden,0,4,5,0.02020202,0.008156607,3,8.25,163
1976,Canada,Switzerland,0,1,4,0.005050505,0.006525285,0.5,4,101
1976,Canada,Thailand,0,0,1,0,0.001631321,0,1,62
1976,Canada,Trinidad and Tobago,0,1,1,0.005050505,0.001631321,0.25,1.75,20
1976,Canada,United States,0,34,94,0.171717172,0.153344209,37,96.25,554
1976,Canada,Venezuela,0,0,1,0,0.001631321,0.25,1,56
1976,Canada,West Germany,0,10,39,0.050505051,0.063621533,10,39,407
1980,Soviet Union,Australia,0,2,9,0.009803922,0.014263074,3.75,12,190
1980,Soviet Union,Austria,0,1,4,0.004901961,0.006339144,0.25,3,92
1980,Soviet Union,Belgium,0,1,1,0.004901961,0.001584786,0.25,2.75,84
1980,Soviet Union,Brazil,0,2,4,0.009803922,0.006339144,0.5,2.75,149
1980,Soviet Union,Bulgaria,0,8,41,0.039215686,0.064976228,5.5,23.25,397
1980,Soviet Union,Cuba,0,8,20,0.039215686,0.031695721,4.25,11.25,288
1980,Soviet Union,Czechoslovakia,0,2,14,0.009803922,0.022187005,3.25,10.75,317
1980,Soviet Union,Denmark,0,2,5,0.009803922,0.00792393,1.25,4.25,60
1980,Soviet Union,Ethiopia,0,2,4,0.009803922,0.006339144,1,2.25,48
1980,Soviet Union,Finland,0,3,8,0.014705882,0.012678288,2.75,6.5,125
1980,Soviet Union,France,0,6,14,0.029411765,0.022187005,4.25,12.75,200
1980,Soviet Union,Great Britain,0,5,21,0.024509804,0.033280507,4.25,16.25,328
1980,Soviet Union,Greece,0,1,3,0.004901961,0.004754358,0.5,1.75,45
1980,Soviet Union,Guyana,0,0,1,0,0.001584786,0,1,10
1980,Soviet Union,Hungary,0,7,32,0.034313725,0.050713154,6.75,30.25,392
1980,Soviet Union,India,0,1,1,0.004901961,0.001584786,0.5,1,78
1980,Soviet Union,Ireland,0,0,2,0,0.003169572,0.25,2.25,57
1980,Soviet Union,Italy,0,8,15,0.039215686,0.023771791,4.5,15.5,203
1980,Soviet Union,Jamaica,0,0,3,0,0.004754358,0.25,1.75,32
1980,Soviet Union,Mexico,0,0,4,0,0.006339144,1,4,74
1980,Soviet Union,Mongolia,0,0,4,0,0.006339144,0,2.5,57
1980,Soviet Union,Netherlands,0,0,3,0,0.004754358,1.5,5,112
1980,Soviet Union,North Korea,0,0,5,0,0.00792393,0,5,121
1980,Soviet Union,Poland,0,3,32,0.014705882,0.050713154,5.5,24.25,418
1980,Soviet Union,Romania,0,6,25,0.029411765,0.039619651,4.25,20.75,339
1980,Soviet Union,Russia,0,80,195,0.392156863,0.309033281,52,127.5,660
1980,Soviet Union,Serbia,0,2,9,0.009803922,0.014263074,2.25,7.5,180
1980,Soviet Union,Spain,0,1,6,0.004901961,0.009508716,0.25,2.5,211
1980,Soviet Union,Sweden,0,3,12,0.014705882,0.019017433,3.25,9.25,201
1980,Soviet Union,Switzerland,0,2,2,0.009803922,0.003169572,0.75,3.5,86
1980,Soviet Union,Tanzania,0,0,2,0,0.003169572,0,2,48
1980,Soviet Union,Uganda,0,0,1,0,0.001584786,0,1,16
1980,Soviet Union,Venezuela,0,0,1,0,0.001584786,0.25,1,43
1980,Soviet Union,Zimbabwe,0,1,1,0.004901961,0.001584786,1,1,52
1984,United States,Algeria,0,0,2,0,0.002906977,0,2,33
1984,United States,Australia,0,4,24,0.017699115,0.034883721,3.5,13.75,337
1984,United States,Austria,0,1,3,0.004424779,0.004360465,0.5,2.75,130
1984,United States,Belgium,0,1,4,0.004424779,0.005813953,0.5,3.25,86
1984,United States,Brazil,0,1,8,0.004424779,0.011627907,0.75,4,197
1984,United States,Cameroon,0,0,1,0,0.001453488,0,1,56
1984,United States,Canada,0,10,44,0.044247788,0.063953488,2.75,16.25,572
1984,United States,China,0,15,32,0.066371681,0.046511628,15,32,323
1984,United States,Chinese Taipei,0,0,1,0,0.001453488,0,1,52
1984,United States,Colombia,0,0,1,0,0.001453488,0,1,48
1984,United States,Denmark,0,0,6,0,0.00872093,1,3.75,74
1984,United States,Dominican Republic,0,0,1,0,0.001453488,0,1,24
1984,United States,Egypt,0,0,1,0,0.001453488,0.5,2.25,148
1984,United States,Finland,0,4,12,0.017699115,0.01744186,3.5,8.5,107
1984,United States,France,0,5,28,0.022123894,0.040697674,3.75,16,354
1984,United States,Great Britain,0,5,37,0.022123894,0.05377907,4.25,22.25,509
1984,United States,Greece,0,0,2,0,0.002906977,0.25,2,73
1984,United States,Iceland,0,0,1,0,0.001453488,0,1,35
1984,United States,Ireland,0,0,1,0,0.001453488,0.25,2.25,55
1984,United States,Italy,0,14,32,0.061946903,0.046511628,7.25,19.5,368
1984,United States,Ivory Coast,0,0,1,0,0.001453488,0,1,18
1984,United States,Jamaica,0,0,3,0,0.004360465,0.25,2.25,75
1984,United States,Japan,0,10,32,0.044247788,0.046511628,10.75,27.75,365
1984,United States,Kenya,0,1,3,0.004424779,0.004360465,1.5,5.5,67
1984,United States,Mexico,0,2,6,0.008849558,0.00872093,0.75,3.25,155
1984,United States,Morocco,0,2,2,0.008849558,0.002906977,2,2,35
1984,United States,Netherlands,0,5,13,0.022123894,0.018895349,2,6.5,13
1984,United States,Netherlands,0,5,13,0.022123894,0.018895349,2,6.5,185
1984,United States,New Zealand,0,8,11,0.03539823,0.015988372,3,5.25,162
1984,United States,Nigeria,0,0,2,0,0.002906977,0,2,36
1984,United States,Norway,0,0,3,0,0.004360465,1,2.75,132
1984,United States,Pakistan,0,1,1,0.004424779,0.001453488,0.5,1,33
1984,United States,Peru,0,0,1,0,0.001453488,0,1,44
1984,United States,Portugal,0,1,3,0.004424779,0.004360465,0.25,1.75,48
1984,United States,Puerto Rico,0,0,2,0,0.002906977,0,2,58
1984,United States,Romania,0,20,53,0.088495575,0.077034884,8.25,30.25,193
1984,United States,Serbia,0,7,18,0.030973451,0.026162791,3.25,10,154
1984,United States,South Korea,0,6,19,0.026548673,0.027616279,1.75,7,240
1984,United States,Spain,0,1,5,0.004424779,0.007267442,0.5,3.5,257
1984,United States,Sweden,0,2,19,0.008849558,0.027616279,3.25,13,254
1984,United States,Switzerland,0,0,8,0,0.011627907,0.75,4.25,245
1984,United States,Syria,0,0,1,0,0.001453488,0,1,9
1984,United States,Thailand,0,0,1,0,0.001453488,0,1,40
1984,United States,Turkey,0,0,3,0,0.004360465,1,3,62
1984,United States,United States,1,83,174,0.367256637,0.252906977,48.75,117.25,693
1984,United States,Venezuela,0,0,3,0,0.004360465,0.25,1.5,44
1984,United States,Zambia,0,0,1,0,0.001453488,0,1,18
1988,South Korea,Argentina,0,0,2,0,0.00270636,0,1.5,134
1988,South Korea,Australia,0,3,14,0.012448133,0.01894452,2.25,13,339
1988,South Korea,Austria,0,1,1,0.004149378,0.00135318,0.75,2.25,96
1988,South Korea,Belgium,0,0,2,0,0.00270636,0.5,3.25,85
1988,South Korea,Brazil,0,1,6,0.004149378,0.00811908,1,5,233
1988,South Korea,Bulgaria,0,10,35,0.041493776,0.047361299,7.5,29.75,281
1988,South Korea,Canada,0,3,10,0.012448133,0.0135318,3.25,17.5,503
1988,South Korea,Chile,0,0,1,0,0.00135318,0,2,23
1988,South Korea,China,0,5,28,0.020746888,0.037889039,5,28,427
1988,South Korea,Colombia,0,0,1,0,0.00135318,0,1,57
1988,South Korea,Costa Rica,0,0,1,0,0.00135318,0,1,33
1988,South Korea,Czechoslovakia,0,3,8,0.012448133,0.01082544,2.25,9.5,226
1988,South Korea,Denmark,0,2,4,0.008298755,0.00541272,1.25,4.5,130
1988,South Korea,Djibouti,0,0,1,0,0.00135318,0,1,6
1988,South Korea,East Germany,0,37,102,0.153526971,0.138024357,36,96,516
1988,South Korea,Finland,0,1,4,0.004149378,0.00541272,3,7.5,101
1988,South Korea,France,0,6,16,0.024896266,0.02165088,4.75,16.75,413
1988,South Korea,Great Britain,0,5,24,0.020746888,0.032476319,4.5,23.75,472
1988,South Korea,Greece,0,0,1,0,0.00135318,0.25,2,72
1988,South Korea,Hungary,0,11,23,0.045643154,0.031123139,7,28,315
1988,South Korea,Indonesia,0,0,1,0,0.00135318,0,1,43
1988,South Korea,Iran,0,0,1,0,0.00135318,0.5,2.75,26
1988,South Korea,Italy,0,6,14,0.024896266,0.01894452,7.5,18.5,374
1988,South Korea,Jamaica,0,0,2,0,0.00270636,0.25,2.5,49
1988,South Korea,Japan,0,4,14,0.01659751,0.01894452,9,25,412
1988,South Korea,Kenya,0,5,9,0.020746888,0.01217862,2.75,7.5,88
1988,South Korea,Mexico,0,0,2,0,0.00270636,0.75,3.5,144
1988,South Korea,Mongolia,0,0,1,0,0.00135318,0,1.75,32
1988,South Korea,Morocco,0,1,3,0.004149378,0.00405954,1,3,29
1988,South Korea,Netherlands,0,2,9,0.008298755,0.01217862,1.75,7.5,4
1988,South Korea,Netherlands,0,2,9,0.008298755,0.01217862,1.75,7.5,202
1988,South Korea,New Zealand,0,3,13,0.012448133,0.01759134,3.5,7.75,112
1988,South Korea,Norway,0,2,5,0.008298755,0.0067659,1.25,3.5,79
1988,South Korea,Pakistan,0,0,1,0,0.00135318,0.25,1,33
1988,South Korea,Peru,0,0,1,0,0.00135318,0,1,26
1988,South Korea,Philippines,0,0,1,0,0.00135318,0,1.5,42
1988,South Korea,Poland,0,2,16,0.008298755,0.02165088,4.75,23.75,192
1988,South Korea,Portugal,0,1,1,0.004149378,0.00135318,0.5,1.75,91
1988,South Korea,Romania,0,7,24,0.029045643,0.032476319,9.25,32.25,172
1988,South Korea,Russia,0,55,132,0.228215768,0.178619756,58.5,137.75,647
1988,South Korea,Senegal,0,0,1,0,0.00135318,0,1,35
1988,South Korea,Serbia,0,3,12,0.012448133,0.01623816,3.5,11.75,183
1988,South Korea,South Korea,1,12,33,0.049792531,0.044654939,4.75,14.75,551
1988,South Korea,Spain,0,1,4,0.004149378,0.00541272,0.75,4.25,317
1988,South Korea,Suriname,0,1,1,0.004149378,0.00135318,1,1,10
1988,South Korea,Sweden,0,0,11,0,0.01488498,2.25,11.75,251
1988,South Korea,Switzerland,0,0,4,0,0.00541272,0.75,4.5,151
1988,South Korea,Thailand,0,0,1,0,0.00135318,0,1,15
1988,South Korea,Turkey,0,1,2,0.004149378,0.00270636,0.75,2,51
1988,South Korea,United States,0,36,94,0.149377593,0.127198917,46.5,114,715
1988,South Korea,Virgin Islands,0,0,1,0,0.00135318,0,1,46
1988,South Korea,West Germany,0,11,40,0.045643154,0.054127199,12.75,44.5,402
1992,Spain,Algeria,0,1,2,0.003846154,0.002453988,1,2,36
1992,Spain,Argentina,0,0,1,0,0.001226994,0,1.5,111
1992,Spain,Australia,0,7,27,0.026923077,0.033128834,4,18.5,390
1992,Spain,Austria,0,0,2,0,0.002453988,0.75,2.5,127
1992,Spain,Bahamas,0,0,1,0,0.001226994,0,1,18
1992,Spain,Belgium,0,0,3,0,0.003680982,0.5,2.5,103
1992,Spain,Brazil,0,2,3,0.007692308,0.003680982,1.5,5.25,233
1992,Spain,Bulgaria,0,3,16,0.011538462,0.019631902,6.75,28.5,236
1992,Spain,Canada,0,7,18,0.026923077,0.02208589,5,20.75,445
1992,Spain,China,0,16,54,0.061538462,0.066257669,16,54,394
1992,Spain,Chinese Taipei,0,0,1,0,0.001226994,0,1,38
1992,Spain,Colombia,0,0,1,0,0.001226994,0,1.5,61
1992,Spain,Croatia,0,0,3,0,0.003680982,0,3,46
1992,Spain,Cuba,0,14,31,0.053846154,0.03803681,7.75,18,196
1992,Spain,Czechoslovakia,0,4,7,0.015384615,0.008588957,2.75,9.25,269
1992,Spain,Denmark,0,1,6,0.003846154,0.007361963,1.25,5.25,144
1992,Spain,Estonia,0,1,2,0.003846154,0.002453988,1.5,5,46
1992,Spain,Ethiopia,0,1,3,0.003846154,0.003680982,1,2.75,24
1992,Spain,Finland,0,1,5,0.003846154,0.006134969,2.25,7.25,130
1992,Spain,France,0,8,29,0.030769231,0.035582822,6.25,21.75,486
1992,Spain,Germany,0,33,82,0.126923077,0.100613497,19,57.75,653
1992,Spain,Ghana,0,0,1,0,0.001226994,0,1,41
1992,Spain,Great Britain,0,5,20,0.019230769,0.024539877,5,25.5,512
1992,Spain,Greece,0,2,2,0.007692308,0.002453988,0.75,2,76
1992,Spain,Hungary,0,11,30,0.042307692,0.036809816,8.25,26.75,351
1992,Spain,Indonesia,0,2,5,0.007692308,0.006134969,2,5,51
1992,Spain,Iran,0,0,3,0,0.003680982,0,2.25,44
1992,Spain,Ireland,0,1,2,0.003846154,0.002453988,0.25,1.5,77
1992,Spain,Israel,0,0,2,0,0.002453988,0,2,44
1992,Spain,Italy,0,6,19,0.023076923,0.023312883,8.5,20,431
1992,Spain,Jamaica,0,0,4,0,0.004907975,0,3,51
1992,Spain,Japan,0,3,22,0.011538462,0.026993865,6.5,23.25,392
1992,Spain,Kenya,0,2,8,0.007692308,0.009815951,2.5,7.25,55
1992,Spain,Latvia,0,0,3,0,0.003680982,0,3,40
1992,Spain,Lithuania,0,1,2,0.003846154,0.002453988,1,2,54
1992,Spain,Malaysia,0,0,1,0,0.001226994,0,1,30
1992,Spain,Mexico,0,0,1,0,0.001226994,0.5,3.25,140
1992,Spain,Mongolia,0,0,2,0,0.002453988,0,2,38
1992,Spain,Morocco,0,1,3,0.003846154,0.003680982,1,2.25,45
1992,Spain,Namibia,0,0,2,0,0.002453988,0,2,10
1992,Spain,Netherlands,0,2,15,0.007692308,0.018404908,2.25,10,4
1992,Spain,Netherlands,0,2,15,0.007692308,0.018404908,2.25,10,257
1992,Spain,New Zealand,0,1,10,0.003846154,0.012269939,3.5,9.5,175
1992,Spain,Nigeria,0,0,4,0,0.004907975,0,2,72
1992,Spain,North Korea,0,4,9,0.015384615,0.011042945,1.5,5.25,123
1992,Spain,Norway,0,2,7,0.007692308,0.008588957,1.25,4.25,114
1992,Spain,Pakistan,0,0,1,0,0.001226994,0.25,1,28
1992,Spain,Peru,0,0,1,0,0.001226994,0.25,1,21
1992,Spain,Philippines,0,0,1,0,0.001226994,0,1,38
1992,Spain,Poland,0,3,19,0.011538462,0.023312883,3.75,23.25,263
1992,Spain,Puerto Rico,0,0,1,0,0.001226994,0,1.25,101
1992,Spain,Qatar,0,0,1,0,0.001226994,0,1,30
1992,Spain,Romania,0,4,18,0.015384615,0.02208589,9.25,30,306
1992,Spain,Slovenia,0,0,2,0,0.002453988,0,2,47
1992,Spain,South Africa,0,0,2,0,0.002453988,0.5,4.75,141
1992,Spain,South Korea,0,12,29,0.046153846,0.035582822,7.75,21.75,322
1992,Spain,Spain,1,13,22,0.05,0.026993865,4,9.25,537
1992,Spain,Suriname,0,0,1,0,0.001226994,0,1,9
1992,Spain,Sweden,0,1,12,0.003846154,0.014723926,1.5,13.5,252
1992,Spain,Switzerland,0,1,1,0.003846154,0.001226994,0.75,3.75,171
1992,Spain,Thailand,0,0,1,0,0.001226994,0,1,64
1992,Spain,Turkey,0,2,6,0.007692308,0.007361963,0.75,3,54
1992,Spain,Unified Team,0,45,112,0.173076923,0.137423313,45,112,650
1992,Spain,United States,0,37,108,0.142307692,0.132515337,47.5,117.5,734
1996,United States,Algeria,0,2,3,0.007380074,0.003562945,2,3,47
1996,United States,Argentina,0,0,3,0,0.003562945,0,1.75,221
