NOC,country,Sport,gold_count,total_medals,athlete_count
CAN,Canada,Karate,0,1,1
CAN,Canada,Lacrosse,24,36,36
CAN,Canada,Marathon Swimming,0,3,3
CAN,Canada,Modern Pentathlon,0,29,15
CAN,Canada,Rhythmic Gymnastics,1,15,15
CAN,Canada,Rowing,59,599,425
CAN,Canada,Rugby Sevens,0,52,44
CAN,Canada,Sailing,0,227,170
CAN,Canada,Shooting,4,229,109
CAN,Canada,Skateboarding,0,8,7
CAN,Canada,Softball,0,60,52
CAN,Canada,Sport Climbing,0,2,2
CAN,Canada,Surfing,0,1,1
CAN,Canada,Swimming,12,1134,376
CAN,Canada,Synchronized Swimming,4,67,44
CAN,Canada,Table Tennis,0,55,23
CAN,Canada,Taekwondo,0,14,9
CAN,Canada,Tennis,2,73,33
CAN,Canada,Trampoline Gymnastics,0,3,3
CAN,Canada,Trampolining,2,13,5
CAN,Canada,Triathlon,1,37,25
CAN,Canada,Volleyball,0,109,96
CAN,Canada,Water Polo,0,100,77
CAN,Canada,Weightlifting,1,66,50
CAN,Canada,Wrestling,3,184,135
CAY,Cayman Islands,Artistic Gymnastics,0,5,1
CAY,Cayman Islands,Athletics,0,20,8
CAY,Cayman Islands,Cycling,0,31,13
CAY,Cayman Islands,Sailing,0,17,14
CAY,Cayman Islands,Swimming,0,21,9
CGO,Republic of the Congo,Athletics,0,61,36
CGO,Republic of the Congo,Boxing,0,5,5
CGO,Republic of the Congo,Fencing,0,1,1
CGO,Republic of the Congo,Handball,0,14,14
CGO,Republic of the Congo,Judo,0,7,7
CGO,Republic of the Congo,Swimming,0,15,10
CGO,Republic of the Congo,Table Tennis,0,9,5
CHA,Chad,Archery,0,2,2
CHA,Chad,Athletics,0,39,24
CHA,Chad,Boxing,0,1,1
CHA,Chad,Judo,0,5,4
CHI,Chile,Archery,0,5,4
CHI,Chile,Artistic Gymnastics,0,6,2
CHI,Chile,Athletics,0,179,115
CHI,Chile,Basketball,0,43,31
CHI,Chile,Beach Volleyball,0,6,4
CHI,Chile,Boxing,0,38,35
CHI,Chile,Canoe Sprint,0,7,4
CHI,Chile,Canoeing,0,2,2
CHI,Chile,Cycling,0,88,43
CHI,Chile,Cycling BMX Freestyle,0,2,1
CHI,Chile,Cycling BMX Racing,0,1,1
CHI,Chile,Cycling Mountain Bike,0,2,1
CHI,Chile,Cycling Road,0,2,2
CHI,Chile,Diving,0,4,2
CHI,Chile,Equestrian,0,3,3
CHI,Chile,Equestrianism,0,51,27
CHI,Chile,Fencing,0,47,23
CHI,Chile,Football,0,75,75
CHI,Chile,Golf,0,5,3
CHI,Chile,Gymnastics,0,12,2
CHI,Chile,Judo,0,9,7
CHI,Chile,Modern Pentathlon,0,25,12
CHI,Chile,Rowing,0,37,29
CHI,Chile,Sailing,0,30,23
CHI,Chile,Shooting,1,56,33
CHI,Chile,Skateboarding,0,1,1
CHI,Chile,Surfing,0,1,1
CHI,Chile,Swimming,0,34,18
CHI,Chile,Table Tennis,0,35,14
CHI,Chile,Taekwondo,0,5,5
CHI,Chile,Tennis,3,27,13
CHI,Chile,Triathlon,0,9,6
CHI,Chile,Water Polo,0,8,8
CHI,Chile,Weightlifting,0,8,7
CHI,Chile,Wrestling,0,4,3
CHN,China,3x3 Basketball,0,16,13
CHN,China,Archery,1,126,54
CHN,China,Art Competitions,0,5,5
CHN,China,Artistic Gymnastics,5,135,18
CHN,China,Artistic Swimming,11,21,14
CHN,China,Athletics,11,575,402
CHN,China,Badminton,35,159,103
CHN,China,Baseball,0,24,24
CHN,China,Basketball,0,247,167
CHN,China,Beach Volleyball,0,26,18
CHN,China,Boxing,6,64,55
CHN,China,Breaking,0,3,3
CHN,China,Canoe Slalom,0,8,5
CHN,China,Canoe Sprint,6,47,20
CHN,China,Canoeing,4,111,66
CHN,China,Cycling,2,96,67
CHN,China,Cycling BMX Freestyle,1,2,2
CHN,China,Cycling Mountain Bike,0,4,4
CHN,China,Cycling Road,0,5,4
CHN,China,Cycling Track,3,27,11
CHN,China,Diving,78,144,68
CHN,China,Equestrian,0,17,8
CHN,China,Equestrianism,0,11,6
CHN,China,Fencing,8,275,120
CHN,China,Football,0,151,132
CHN,China,Golf,0,12,11
CHN,China,Gymnastics,45,641,85
CHN,China,Handball,0,81,64
CHN,China,Hockey,0,132,90
CHN,China,Judo,8,94,76
CHN,China,Karate,0,2,2
CHN,China,Marathon Swimming,0,2,1
CHN,China,Modern Pentathlon,0,26,16
CHN,China,Rhythmic Gymnastics,5,46,40
CHN,China,Rowing,8,212,151
CHN,China,Rugby Sevens,0,27,20
CHN,China,Sailing,3,85,73
CHN,China,Shooting,34,300,159
CHN,China,Skateboarding,0,6,5
CHN,China,Softball,0,60,40
CHN,China,Sport Climbing,0,9,8
CHN,China,Surfing,0,1,1
CHN,China,Swimming,27,657,238
CHN,China,Synchronized Swimming,0,72,41
CHN,China,Table Tennis,67,124,46
CHN,China,Taekwondo,7,28,23
CHN,China,Tennis,3,69,33
CHN,China,Trampoline Gymnastics,1,8,7
CHN,China,Trampolining,3,14,7
CHN,China,Triathlon,0,13,10
CHN,China,Volleyball,34,151,108
CHN,China,Water Polo,0,102,77
CHN,China,Weightlifting,46,107,87
CHN,China,Wrestling,2,104,89
CIV,Ivory Coast,Archery,0,2,1
CIV,Ivory Coast,Athletics,0,116,55
CIV,Ivory Coast,Boxing,0,8,7
CIV,Ivory Coast,Canoeing,0,20,12
CIV,Ivory Coast,Fencing,0,3,3
CIV,Ivory Coast,Football,0,37,37
CIV,Ivory Coast,Handball,0,14,14
CIV,Ivory Coast,Judo,0,13,12
CIV,Ivory Coast,Rowing,0,1,1
CIV,Ivory Coast,Swimming,0,9,7
CIV,Ivory Coast,Taekwondo,1,15,9
CIV,Ivory Coast,Tennis,0,3,2
CIV,Ivory Coast,Wrestling,0,2,2
CMR,Cameroon,Athletics,2,100,50
CMR,Cameroon,Boxing,0,45,37
CMR,Cameroon,Cycling,0,28,13
CMR,Cameroon,Football,18,67,67
CMR,Cameroon,Judo,0,25,22
CMR,Cameroon,Rowing,0,2,1
CMR,Cameroon,Swimming,0,9,8
CMR,Cameroon,Table Tennis,0,4,2
CMR,Cameroon,Volleyball,0,10,10
CMR,Cameroon,Weightlifting,0,13,13
CMR,Cameroon,Wrestling,0,25,18
COD,Democratic Republic of the Congo,Athletics,0,36,22
COD,Democratic Republic of the Congo,Basketball,0,12,12
COD,Democratic Republic of the Congo,Boxing,0,20,19
COD,Democratic Republic of the Congo,Cycling,0,18,10
COD,Democratic Republic of the Congo,Judo,0,11,11
COD,Democratic Republic of the Congo,Swimming,0,3,3
COD,Democratic Republic of the Congo,Table Tennis,0,4,2
COD,Democratic Republic of the Congo,Taekwondo,0,2,2
COK,Cook Islands,Athletics,0,16,10
COK,Cook Islands,Boxing,0,3,3
COK,Cook Islands,Canoe Slalom,0,2,1
COK,Cook Islands,Canoe Sprint,0,3,2
COK,Cook Islands,Canoeing,0,5,3
COK,Cook Islands,Sailing,0,5,4
COK,Cook Islands,Swimming,0,9,8
COK,Cook Islands,Weightlifting,0,8,5
COL,Colombia,Archery,0,30,14
COL,Colombia,Art Competitions,0,1,1
COL,Colombia,Artistic Gymnastics,0,9,2
COL,Colombia,Artistic Swimming,0,2,2
COL,Colombia,Athletics,1,254,149
COL,Colombia,Boxing,0,58,56
COL,Colombia,Canoe Sprint,0,1,1
COL,Colombia,Cycling,2,193,113
COL,Colombia,Cycling BMX Freestyle,0,1,1
COL,Colombia,Cycling BMX Racing,0,8,6
COL,Colombia,Cycling Mountain Bike,0,1,1
COL,Colombia,Cycling Road,0,9,8
COL,Colombia,Cycling Track,0,11,5
COL,Colombia,Diving,0,30,14
COL,Colombia,Equestrian,0,2,2
COL,Colombia,Equestrianism,0,19,10
COL,Colombia,Fencing,0,64,22
COL,Colombia,Football,0,139,130
COL,Colombia,Golf,0,6,5
COL,Colombia,Gymnastics,0,37,5
COL,Colombia,Judo,0,14,10
COL,Colombia,Rowing,0,1,1
COL,Colombia,Rugby Sevens,0,12,12
COL,Colombia,Sailing,0,7,5
COL,Colombia,Shooting,0,64,37
COL,Colombia,Skateboarding,0,2,1
COL,Colombia,Swimming,0,129,41
COL,Colombia,Synchronized Swimming,0,2,2
COL,Colombia,Table Tennis,0,3,2
COL,Colombia,Taekwondo,0,11,8
COL,Colombia,Tennis,0,20,12
COL,Colombia,Trampoline Gymnastics,0,2,1
COL,Colombia,Triathlon,0,4,4
COL,Colombia,Tug-Of-War,0,1,1
COL,Colombia,Weightlifting,2,72,50
COL,Colombia,Wrestling,0,30,25
COM,Comoros,Athletics,0,17,13
COM,Comoros,Canoe Slalom,0,2,1
COM,Comoros,Judo,0,1,1
COM,Comoros,Swimming,0,6,6
COM,Comoros,Weightlifting,0,1,1
CPV,Cape Verde,Athletics,0,13,8
CPV,Cape Verde,Boxing,0,5,5
CPV,Cape Verde,Fencing,0,1,1
CPV,Cape Verde,Judo,0,3,3
CPV,Cape Verde,Rhythmic Gymnastics,0,4,3
CPV,Cape Verde,Swimming,0,4,3
CPV,Cape Verde,Taekwondo,0,1,1
CRC,Costa Rica,Archery,0,5,4
CRC,Costa Rica,Artistic Gymnastics,0,5,1
CRC,Costa Rica,Athletics,0,45,24
CRC,Costa Rica,Beach Volleyball,0,2,2
CRC,Costa Rica,Boxing,0,3,3
CRC,Costa Rica,Canoeing,0,6,5
CRC,Costa Rica,Cycling,0,20,15
CRC,Costa Rica,Cycling BMX Freestyle,0,1,1
CRC,Costa Rica,Cycling Road,0,3,3
CRC,Costa Rica,Diving,0,2,1
CRC,Costa Rica,Fencing,0,2,2
CRC,Costa Rica,Football,0,47,44
CRC,Costa Rica,Judo,0,18,15
CRC,Costa Rica,Shooting,0,25,12
CRC,Costa Rica,Surfing,0,4,3
CRC,Costa Rica,Swimming,1,64,22
CRC,Costa Rica,Taekwondo,0,4,3
CRC,Costa Rica,Tennis,0,1,1
CRC,Costa Rica,Triathlon,0,3,2
CRC,Costa Rica,Weightlifting,0,4,4
CRO,Croatia,Artistic Gymnastics,0,8,3
CRO,Croatia,Athletics,3,80,47
CRO,Croatia,Basketball,0,58,50
CRO,Croatia,Boxing,0,11,10
CRO,Croatia,Canoe Slalom,0,3,1
CRO,Croatia,Canoe Sprint,0,4,2
CRO,Croatia,Canoeing,0,26,12
CRO,Croatia,Cycling,0,8,4
CRO,Croatia,Cycling BMX Freestyle,0,1,1
CRO,Croatia,Cycling Road,0,1,1
CRO,Croatia,Diving,0,1,1
CRO,Croatia,Equestrianism,0,2,2
CRO,Croatia,Fencing,0,1,1
CRO,Croatia,Gymnastics,0,25,4
CRO,Croatia,Handball,31,103,76
CRO,Croatia,Judo,1,9,8
CRO,Croatia,Karate,0,1,1
CRO,Croatia,Rowing,6,54,34
CRO,Croatia,Sailing,2,54,31
CRO,Croatia,Shooting,2,61,20
CRO,Croatia,Swimming,0,116,38
CRO,Croatia,Table Tennis,0,47,16
CRO,Croatia,Taekwondo,1,17,12
CRO,Croatia,Tennis,2,51,22
CRO,Croatia,Volleyball,0,11,11
CRO,Croatia,Water Polo,13,103,63
CRO,Croatia,Weightlifting,1,3,2
CRO,Croatia,Wrestling,0,7,6
CRT,,Athletics,0,10,8
CRT,,Shooting,0,1,1
CUB,Cuba,Archery,0,9,7
CUB,Cuba,Art Competitions,0,3,3
CUB,Cuba,Artistic Gymnastics,0,1,1
CUB,Cuba,Athletics,10,484,271
CUB,Cuba,Badminton,0,1,1
CUB,Cuba,Baseball,64,112,73
CUB,Cuba,Basketball,0,121,74
CUB,Cuba,Beach Volleyball,0,18,12
CUB,Cuba,Boxing,42,138,100
CUB,Cuba,Canoe Sprint,2,13,6
CUB,Cuba,Canoeing,0,52,25
CUB,Cuba,Cycling,0,70,30
CUB,Cuba,Cycling Road,0,2,1
CUB,Cuba,Diving,0,36,18
CUB,Cuba,Fencing,6,180,72
CUB,Cuba,Football,0,29,25
CUB,Cuba,Gymnastics,0,386,43
CUB,Cuba,Handball,0,27,27
CUB,Cuba,Hockey,0,16,16
CUB,Cuba,Judo,6,104,59
CUB,Cuba,Modern Pentathlon,0,6,6
CUB,Cuba,Rowing,0,134,90
CUB,Cuba,Sailing,0,19,12
CUB,Cuba,Shooting,1,109,48
CUB,Cuba,Softball,0,15,15
CUB,Cuba,Swimming,0,59,25
CUB,Cuba,Synchronized Swimming,0,2,2
CUB,Cuba,Table Tennis,0,24,12
CUB,Cuba,Taekwondo,1,16,14
CUB,Cuba,Volleyball,28,170,107
CUB,Cuba,Water Polo,0,57,36
CUB,Cuba,Weightlifting,2,72,55
CUB,Cuba,Wrestling,12,145,100
CYP,Cyprus,Archery,0,2,2
CYP,Cyprus,Artistic Gymnastics,0,15,1
CYP,Cyprus,Athletics,0,74,39
CYP,Cyprus,Cycling,0,4,4
CYP,Cyprus,Cycling Road,0,2,1
CYP,Cyprus,Fencing,0,1,1
CYP,Cyprus,Gymnastics,0,6,1
CYP,Cyprus,Judo,0,13,11
CYP,Cyprus,Rhythmic Gymnastics,0,4,4
CYP,Cyprus,Sailing,0,33,19
CYP,Cyprus,Shooting,0,28,18
CYP,Cyprus,Swimming,0,37,19
CYP,Cyprus,Tennis,0,2,1
CYP,Cyprus,Weightlifting,0,1,1
CYP,Cyprus,Wrestling,0,2,2
CZE,Czech Republic,Archery,0,7,4
CZE,Czech Republic,Artistic Gymnastics,0,18,3
CZE,Czech Republic,Athletics,5,244,149
CZE,Czech Republic,Badminton,0,10,6
CZE,Czech Republic,Basketball,0,48,36
CZE,Czech Republic,Beach Volleyball,0,26,19
CZE,Czech Republic,Boxing,0,7,7
CZE,Czech Republic,Canoe Slalom,1,12,6
CZE,Czech Republic,Canoe Sprint,2,14,7
CZE,Czech Republic,Canoeing,4,105,55
CZE,Czech Republic,Cycling,1,76,38
CZE,Czech Republic,Cycling BMX Freestyle,0,1,1
CZE,Czech Republic,Cycling Mountain Bike,0,4,3
CZE,Czech Republic,Cycling Road,0,9,6
CZE,Czech Republic,Cycling Track,0,6,3
CZE,Czech Republic,Diving,0,1,1
CZE,Czech Republic,Equestrian,0,12,6
CZE,Czech Republic,Equestrianism,0,2,1
CZE,Czech Republic,Fencing,0,13,7
CZE,Czech Republic,Football,0,16,16
CZE,Czech Republic,Golf,0,5,5
CZE,Czech Republic,Gymnastics,0,50,7
CZE,Czech Republic,Judo,2,21,13
CZE,Czech Republic,Marathon Swimming,0,2,2
CZE,Czech Republic,Modern Pentathlon,1,18,13
CZE,Czech Republic,Rhythmic Gymnastics,0,3,3
CZE,Czech Republic,Rowing,1,72,42
CZE,Czech Republic,Sailing,0,23,13
CZE,Czech Republic,Shooting,3,123,48
CZE,Czech Republic,Sport Climbing,0,2,1
CZE,Czech Republic,Swimming,0,127,41
CZE,Czech Republic,Synchronized Swimming,0,10,4
CZE,Czech Republic,Table Tennis,0,26,14
CZE,Czech Republic,Taekwondo,0,2,2
CZE,Czech Republic,Tennis,4,95,37
CZE,Czech Republic,Trampolining,0,3,3
CZE,Czech Republic,Triathlon,0,20,12
CZE,Czech Republic,Weightlifting,0,9,8
CZE,Czech Republic,Wrestling,0,12,7
DEN,Denmark,Archery,0,29,15
DEN,Denmark,Art Competitions,0,104,51
DEN,Denmark,Athletics,0,277,170
DEN,Denmark,Badminton,3,122,53
DEN,Denmark,Boxing,1,85,79
DEN,Denmark,Canoe Sprint,0,17,10
DEN,Denmark,Canoeing,4,124,67
DEN,Denmark,Cycling,14,323,179
DEN,Denmark,Cycling BMX Racing,0,3,3
DEN,Denmark,Cycling Mountain Bike,0,6,5
DEN,Denmark,Cycling Road,0,18,11
DEN,Denmark,"Cycling Road, Cycling Track",0,3,1
DEN,Denmark,Cycling Track,2,29,13
DEN,Denmark,Diving,1,29,19
DEN,Denmark,Equestrian,0,19,11
DEN,Denmark,Equestrianism,0,140,56
DEN,Denmark,Fencing,1,229,66
DEN,Denmark,Football,12,151,133
DEN,Denmark,Golf,0,12,11
DEN,Denmark,Gymnastics,20,295,127
DEN,Denmark,Handball,75,207,158
DEN,Denmark,Hockey,0,69,55
DEN,Denmark,Judo,0,4,3
DEN,Denmark,Modern Pentathlon,0,25,16
DEN,Denmark,Rhythmic Gymnastics,0,1,1
DEN,Denmark,Rowing,26,307,229
DEN,Denmark,Sailing,25,224,152
DEN,Denmark,Shooting,7,298,94
DEN,Denmark,Skateboarding,0,2,2
DEN,Denmark,Swimming,3,385,124
DEN,Denmark,Table Tennis,0,16,7
DEN,Denmark,Taekwondo,0,5,5
DEN,Denmark,Tennis,0,56,24
DEN,Denmark,Trampolining,0,3,1
DEN,Denmark,Triathlon,0,9,8
DEN,Denmark,Tug-Of-War,3,3,3
DEN,Denmark,Weightlifting,1,26,21
DEN,Denmark,Wrestling,2,102,68
DJI,Djibouti,Athletics,0,35,26
DJI,Djibouti,Judo,0,5,5
DJI,Djibouti,Sailing,0,4,2
DJI,Djibouti,Swimming,0,5,5
DJI,Djibouti,Table Tennis,0,1,1
DMA,Dominica,Athletics,1,19,14
DMA,Dominica,Swimming,0,5,5
DOM,Dominican Republic,Archery,0,1,1
DOM,Dominican Republic,Artistic Gymnastics,0,3,1
DOM,Dominican Republic,Athletics,3,94,57
DOM,Dominican Republic,Baseball,0,20,20
DOM,Dominican Republic,Baseball/Softball,0,24,24
DOM,Dominican Republic,Boxing,1,61,56
DOM,Dominican Republic,Cycling,0,1,1
DOM,Dominican Republic,Diving,0,9,7
DOM,Dominican Republic,Equestrian,0,3,2
DOM,Dominican Republic,Equestrianism,0,1,1
DOM,Dominican Republic,Football,0,19,19
DOM,Dominican Republic,Gymnastics,0,2,1
DOM,Dominican Republic,Judo,0,30,20
DOM,Dominican Republic,Rowing,0,1,1
DOM,Dominican Republic,Sailing,0,2,2
DOM,Dominican Republic,Shooting,0,10,7
DOM,Dominican Republic,Swimming,0,12,9
DOM,Dominican Republic,Synchronized Swimming,0,4,2
DOM,Dominican Republic,Table Tennis,0,15,7
DOM,Dominican Republic,Taekwondo,0,11,8
DOM,Dominican Republic,Tennis,0,2,2
DOM,Dominican Republic,Volleyball,0,48,37
DOM,Dominican Republic,Weightlifting,0,29,25
DOM,Dominican Republic,Wrestling,0,8,6
ECU,Ecuador,Archery,0,1,1
ECU,Ecuador,Athletics,2,121,71
ECU,Ecuador,Boxing,0,31,25
ECU,Ecuador,Canoeing,0,2,1
ECU,Ecuador,Cycling,0,26,16
ECU,Ecuador,Cycling BMX Racing,0,3,3
ECU,Ecuador,Cycling Road,1,3,3
ECU,Ecuador,Diving,0,2,2
ECU,Ecuador,Equestrian,0,4,3
ECU,Ecuador,Equestrianism,0,3,3
ECU,Ecuador,Golf,0,1,1
ECU,Ecuador,Gymnastics,0,21,3
ECU,Ecuador,Judo,0,21,16
ECU,Ecuador,Marathon Swimming,0,3,3
ECU,Ecuador,Modern Pentathlon,0,3,3
ECU,Ecuador,Rowing,0,1,1
ECU,Ecuador,Sailing,0,1,1
ECU,Ecuador,Shooting,0,24,11
ECU,Ecuador,Surfing,0,1,1
ECU,Ecuador,Swimming,0,52,19
ECU,Ecuador,Table Tennis,0,3,2
ECU,Ecuador,Taekwondo,0,1,1
ECU,Ecuador,Tennis,0,6,3
ECU,Ecuador,Triathlon,0,4,2
ECU,Ecuador,Weightlifting,1,23,18
ECU,Ecuador,Wrestling,0,15,10
EGY,Egypt,Archery,0,19,11
EGY,Egypt,Art Competitions,0,3,1
EGY,Egypt,Artistic Gymnastics,0,31,4
EGY,Egypt,Artistic Swimming,0,28,16
EGY,Egypt,Athletics,0,73,45
EGY,Egypt,Badminton,0,7,4
EGY,Egypt,Basketball,0,77,61
EGY,Egypt,Beach Volleyball,0,4,4
EGY,Egypt,Boxing,0,86,66
EGY,Egypt,Canoe Sprint,0,4,2
EGY,Egypt,Canoeing,0,4,3
EGY,Egypt,Cycling,0,13,9
EGY,Egypt,Cycling Track,0,3,2
EGY,Egypt,Diving,0,37,25
EGY,Egypt,Equestrian,0,8,4
EGY,Egypt,Equestrianism,0,19,6
EGY,Egypt,Fencing,0,240,90
EGY,Egypt,Football,0,183,165
EGY,Egypt,Gymnastics,0,169,22
EGY,Egypt,Handball,0,118,76
EGY,Egypt,Hockey,0,32,32
EGY,Egypt,Judo,0,43,27
EGY,Egypt,Karate,1,5,5
EGY,Egypt,Modern Pentathlon,1,38,22
EGY,Egypt,Rhythmic Gymnastics,0,14,14
EGY,Egypt,Rowing,0,54,48
EGY,Egypt,Sailing,0,7,5
EGY,Egypt,Shooting,0,120,72
EGY,Egypt,Swimming,0,113,50
EGY,Egypt,Synchronized Swimming,0,40,26
EGY,Egypt,Table Tennis,0,59,21
EGY,Egypt,Taekwondo,0,22,18
EGY,Egypt,Tennis,0,3,3
EGY,Egypt,Trampoline Gymnastics,0,3,2
EGY,Egypt,Triathlon,0,1,1
EGY,Egypt,Volleyball,0,73,65
EGY,Egypt,Water Polo,0,51,43
EGY,Egypt,Weightlifting,5,91,73
EGY,Egypt,Wrestling,2,126,93
EOR,Russia,Athletics,0,15,12
EOR,Russia,Badminton,0,2,2
EOR,Russia,Boxing,0,4,4
EOR,Russia,Breaking,0,1,1
EOR,Russia,Canoe Slalom,0,2,1
EOR,Russia,Canoe Sprint,0,4,3
EOR,Russia,Cycling Road,0,4,4
EOR,Russia,Judo,0,24,10
EOR,Russia,Karate,0,2,2
EOR,Russia,Shooting,0,3,2
EOR,Russia,Swimming,0,4,3
EOR,Russia,Taekwondo,0,8,8
EOR,Russia,Weightlifting,0,3,3
EOR,Russia,Wrestling,0,3,3
ERI,Eritrea,Athletics,0,58,36
ERI,Eritrea,Cycling,0,2,1
ERI,Eritrea,Cycling Road,0,6,4
ERI,Eritrea,Swimming,0,3,3
ESA,El Salvador,Archery,0,3,3
ESA,El Salvador,Art Competitions,0,4,1
ESA,El Salvador,Athletics,0,38,30
ESA,El Salvador,Badminton,0,1,1
ESA,El Salvador,Boxing,0,3,3
ESA,El Salvador,Cycling,0,17,8
ESA,El Salvador,Football,0,18,18
ESA,El Salvador,Judo,0,11,8
ESA,El Salvador,Rowing,0,3,2
ESA,El Salvador,Sailing,0,6,5
ESA,El Salvador,Shooting,0,26,16
ESA,El Salvador,Surfing,0,1,1
ESA,El Salvador,Swimming,0,89,33
ESA,El Salvador,Tennis,0,1,1
ESA,El Salvador,Weightlifting,0,8,5
ESA,El Salvador,Wrestling,0,5,2
ESP,Spain,3x3 Basketball,0,4,4
ESP,Spain,Archery,3,44,26
ESP,Spain,Art Competitions,0,3,3
ESP,Spain,Artistic Gymnastics,0,119,11
ESP,Spain,Artistic Swimming,0,21,11
ESP,Spain,Athletics,6,760,451
ESP,Spain,Badminton,1,15,10
ESP,Spain,Baseball,0,20,20
ESP,Spain,Basketball,0,239,157
ESP,Spain,Basque Pelota,2,2,2
ESP,Spain,Beach Volleyball,0,28,17
ESP,Spain,Boxing,0,82,72
ESP,Spain,Canoe Slalom,0,12,8
ESP,Spain,Canoe Sprint,0,40,21
ESP,Spain,Canoeing,7,192,80
ESP,Spain,Cycling,5,232,132
ESP,Spain,Cycling Mountain Bike,0,5,3
ESP,Spain,Cycling Road,0,16,12
ESP,Spain,Cycling Track,0,8,2
ESP,Spain,Diving,0,43,24
ESP,Spain,Equestrian,0,22,12
ESP,Spain,Equestrianism,3,203,67
ESP,Spain,Fencing,0,143,61
ESP,Spain,Football,39,230,222
ESP,Spain,Golf,0,12,10
ESP,Spain,Gymnastics,2,633,85
ESP,Spain,Handball,0,270,181
ESP,Spain,Hockey,15,436,265
ESP,Spain,Judo,3,99,60
ESP,Spain,Karate,1,2,2
ESP,Spain,Marathon Swimming,0,4,4
ESP,Spain,"Marathon Swimming, Swimming",0,4,1
ESP,Spain,Modern Pentathlon,0,32,17
ESP,Spain,Polo,0,11,8
ESP,Spain,Rhythmic Gymnastics,6,56,44
ESP,Spain,Rowing,0,150,115
ESP,Spain,Rugby Sevens,0,25,25
ESP,Spain,Sailing,26,226,144
ESP,Spain,Shooting,2,226,88
ESP,Spain,Skateboarding,0,10,8
ESP,Spain,Sport Climbing,1,3,2
ESP,Spain,Surfing,0,3,3
ESP,Spain,Swimming,2,496,207
ESP,Spain,Synchronized Swimming,0,49,22
ESP,Spain,Table Tennis,0,32,14
ESP,Spain,Taekwondo,1,25,18
ESP,Spain,Tennis,3,156,58
ESP,Spain,Trampoline Gymnastics,0,2,2
ESP,Spain,Triathlon,0,41,25
ESP,Spain,Volleyball,0,36,33
ESP,Spain,Water Polo,25,262,160
ESP,Spain,Weightlifting,0,38,27
ESP,Spain,Wrestling,0,40,33
EST,Estonia,Archery,0,6,4
EST,Estonia,Athletics,2,137,80
EST,Estonia,Badminton,0,8,3
EST,Estonia,Basketball,0,8,8
EST,Estonia,Beach Volleyball,0,4,4
EST,Estonia,Boxing,0,4,3
EST,Estonia,Canoeing,0,6,2
EST,Estonia,Cycling,1,31,18
EST,Estonia,Cycling Mountain Bike,0,2,1
EST,Estonia,Cycling Road,0,4,3
EST,Estonia,Equestrian,0,2,2
EST,Estonia,Fencing,4,39,15
EST,Estonia,Football,0,11,11
EST,Estonia,Judo,0,11,6
EST,Estonia,Modern Pentathlon,0,3,1
EST,Estonia,Rhythmic Gymnastics,0,1,1
EST,Estonia,Rowing,0,44,23
EST,Estonia,Sailing,0,35,20
EST,Estonia,Shooting,0,16,8
EST,Estonia,Swimming,0,58,23
EST,Estonia,Table Tennis,0,1,1
EST,Estonia,Tennis,0,8,3
EST,Estonia,Triathlon,0,4,2
EST,Estonia,Weightlifting,1,21,18
EST,Estonia,Wrestling,5,55,30
ETH,Ethiopia,Athletics,24,358,225
ETH,Ethiopia,Boxing,0,27,24
ETH,Ethiopia,Cycling,0,56,29
ETH,Ethiopia,Cycling Road,0,1,1
ETH,Ethiopia,Swimming,0,6,6
ETH,Ethiopia,Taekwondo,0,1,1
EUN,Unified Team,Archery,0,12,6
EUN,Unified Team,Athletics,12,114,99
EUN,Unified Team,Badminton,0,2,2
EUN,Unified Team,Basketball,12,24,24
EUN,Unified Team,Boxing,0,12,12
EUN,Unified Team,Canoeing,2,23,19
EUN,Unified Team,Cycling,0,21,19
EUN,Unified Team,Diving,0,8,7
EUN,Unified Team,Equestrianism,0,15,8
EUN,Unified Team,Fencing,5,32,20
EUN,Unified Team,Gymnastics,19,84,12
EUN,Unified Team,Handball,12,25,25
EUN,Unified Team,Hockey,0,15,15
EUN,Unified Team,Judo,2,13,13
EUN,Unified Team,Modern Pentathlon,0,6,3
EUN,Unified Team,Rhythmic Gymnastics,1,2,2
EUN,Unified Team,Rowing,0,47,47
EUN,Unified Team,Sailing,0,14,14
EUN,Unified Team,Shooting,5,28,22
EUN,Unified Team,Swimming,11,67,29
EUN,Unified Team,Synchronized Swimming,0,5,3
EUN,Unified Team,Table Tennis,0,11,6
EUN,Unified Team,Tennis,0,7,5
EUN,Unified Team,Volleyball,0,20,20
EUN,Unified Team,Water Polo,0,13,13
EUN,Unified Team,Weightlifting,5,10,10
EUN,Unified Team,Wrestling,6,20,20
FIJ,Fiji,Archery,0,3,1
FIJ,Fiji,Athletics,0,67,34
FIJ,Fiji,Boxing,0,5,5
FIJ,Fiji,Cycling,0,1,1
FIJ,Fiji,Football,0,16,16
FIJ,Fiji,Judo,0,19,12
FIJ,Fiji,Rugby Sevens,26,79,65
FIJ,Fiji,Sailing,0,25,16
FIJ,Fiji,Shooting,0,4,1
FIJ,Fiji,Swimming,0,64,16
FIJ,Fiji,Table Tennis,0,3,2
FIJ,Fiji,Taekwondo,0,2,2
FIJ,Fiji,Weightlifting,0,8,7
FIN,Finland,Archery,1,47,23
FIN,Finland,Art Competitions,3,9,9
FIN,Finland,Athletics,64,959,518
FIN,Finland,Badminton,0,16,9
FIN,Finland,Basketball,0,23,22
